Year,Id,NGL,Pt,DCO,DBO5,MES,site_name,SIRET_code,discharge_environment,lat_site,long_site,code_epsg,code_ape,libelle_ape,code_eprtr,libelle_eprtr
2004,0006204953,NA,6700,NA,NA,NA,ELIS LORRAINE/PIERRETTE TBA,30604226800210,water (indirect),933968,6850650000000,2154,7729Z,Location et location-bail d'autres biens personnels et domestiques,NA,NA
2004,0006205051,NA,NA,NA,51000,NA,WELLMAN NEUFCHATEAU RECYCLAGE,37888130400034,water (indirect),899614,6808177000000,2154,3832Z,Récupération de déchets triés,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
2004,0006300980,NA,5200,740000,NA,NA,SNV Laval,40443277500116,water (indirect),368349,2345950,27572,1012Z,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0006300981,85000,15000,1200000,660000,NA,Fromageries Bel Production France,49337159500049,water (indirect),447588,6788925000000,2154,1051C,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2004,0006300988,NA,NA,270000,140000,NA,FLEURY MICHON LS,34054544100073,water (indirect),408569,6634517000000,2154,1085Z,Fabrication de plats préparés,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0006300990,NA,NA,240000,140000,NA,FLEURY MICHON LS,43922020300038,water (indirect),391443,6630148000000,2154,1013A,Préparation industrielle de produits à base de viande,NA,NA
2004,0006205703,NA,NA,250000,94000,NA,SOVOS Tannerie Grosjean,30635053900012,water (indirect),931052,2329406,27572,1511Z,"Apprêt et tannage des cuirs , préparation et teinture des fourrures",NA,NA
2004,0006206235,NA,NA,NA,45000,NA,PAPETERIES DES VOSGES,44027103900024,water (indirect),975066,6794471000000,2154,1712Z,Fabrication de papier et de carton,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
2004,0006301096,NA,NA,430000,120000,NA,TDV INDUSTRIES,30679698800013,water (indirect),419992,6779653000000,2154,1320Z,Tissage,9.(a),"Usines destinées au prétraitement (opérations de lavage, de blanchiment, de mercerisation) ou à la teinture de fibres ou de textiles d'une capacité de traitement de 10 tonnes par jour"
2004,0006301398,NA,NA,NA,52000,NA,TRISTONE FLOWTECH FRANCE,86780090600010,water (indirect),359700,6694472000000,2154,2932Z,Fabrication d'autres équipements automobiles,NA,NA
2004,0006301413,NA,NA,470000,NA,NA,GALLIANCE ANCENIS,33053347200024,water (indirect),385199,6706769000000,2154,1012Z,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0006301415,NA,NA,560000,290000,NA,MONDELEZ International,43308514900139,water (indirect),367140,6683440000000,2154,1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0006301416,NA,5200,340000,200000,NA,CANDIA,35201495500277,water (indirect),325769,6713721000000,2154,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2004,0006301430,NA,NA,NA,67000,NA,UNITED BISCUITS- BISCUITERIE NANTAISE,85680151900120,water (indirect),359663,6685492000000,2154,1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",NA,NA
2004,0006301151,150000,24000,2500000,1400000,990000,SOCOPA VIANDES Site d'EVRON,50851378500107,water (indirect),396200,2354305,27572,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0006301496,NA,NA,NA,82000,NA,VOLAILLES Rémi Ramon,73725012600015,water (indirect),401981,2383274,27572,1012Z,Transformation et conservation de la viande de volaille,NA,NA
2004,0006301159,NA,NA,NA,51000,NA,SEITA une Société du groupe IMPERIAL TOBACCO,33135526300129,water (indirect),310445,2262300,27572,1200Z,Fabrication de produits à base de tabac,NA,NA
2004,0006301730,NA,NA,1500000,770000,NA,YOPLAIT PRODUCTION FRANCE,40004028300105,water (indirect),489002,6768204000000,2154,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2004,0006301732,NA,5400,490000,250000,NA,CANDIA Le Lude,35201495500103,water (indirect),435512,2296289,27572,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2004,0006302127,NA,NA,NA,66000,NA,AROMES DE CHACE,48328275200011,water (indirect),467802,6683565000000,2154,1039A,Autre transformation et conservation de légumes,NA,NA
2004,0006302146,NA,NA,NA,51000,NA,SAICA PACK FRANCE,63203998800159,water (indirect),-0.744195,48088475,4326,1721A,Fabrication de carton ondulé,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
2004,0006302253,NA,NA,NA,58000,NA,BISCUITS CANTREAU S.A.,54625022600026,water (indirect),407803,6601214000000,2154,1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",NA,NA
2004,0006302278,NA,NA,160000,NA,NA,L'ABEILLE,06220022500019,water (indirect),407370,6669002000000,2154,1107B,Production de boissons rafraîchissantes,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
