identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0016900015;DELPHARM BIOTECH;78903071500021;;69007;LYON;RHONE;AUVERGNE-RHONE-ALPES;796020;2085439;27572;7500Z;Activités vétérinaires;;
0005800486;Matériaux Baie de Seine;39492687700017;;76700;GONFREVILLE-L'ORCHER;SEINE-MARITIME;NORMANDIE;447573;2502959;27572;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0018300485;MECANIC SUD INDUSTRIE;42248218200017;"Rue Charles Nicolle CS 644
 ZI du Capiscol";34500;BEZIERS;HERAULT;OCCITANIE;670960;1815561;27572;2562B;Mécanique industrielle;;
0005501783;Galliance Languidic;50400150400027;MOULIN DU BAUDRY BP 3;56440;LANGUIDIC;MORBIHAN;BRETAGNE;188959;2329265;27572;1012Z;Transformation et conservation de la viande de volaille;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0006103244;CANDIA;35201495500046;CHEMIN DES MINES;38205;VIENNE;ISERE;AUVERGNE-RHONE-ALPES;798448;2061987;27572;1051D;Fabrication d'autres produits laitiers;8.(c);Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
0006107061;GIRAUDET SAS;33990964000015;10 Avenue Arsène d'Arsonval BP7019;01007;BOURG-EN-BRESSE;AIN;AUVERGNE-RHONE-ALPES;823380;2137602;27572;1085Z;Fabrication de plats préparés;;
0006202518;GARE OCCASION 88;34379118200011;2 rue de la Gare;88630;SIONNE;VOSGES;GRAND-EST;844674;2382163;27572;3831Z;Démantèlement d'épaves;;
0006412193;Bertrand - ISDI Montauroux;38807757000041;;83440;MONTAUROUX;VAR;PROVENCE-ALPES-COTE-D'AZUR;957778;1856330;27572;4211Z;Construction de routes et autoroutes;;
0006501923;BUTAGAZ SAS;40296039700220;ZI 9 rue de la grande haie;77130;MONTEREAU-FAULT-YONNE;SEINE-ET-MARNE;ILE-DE-FRANCE;646207;2376997;27572;4671Z;Commerce de gros (commerce interentreprises) de combustibles et de produits annexes;;
0006808058;SIRTOMAD - plate forme compostage;25820102900018;"Lieu dit ""Lalause""
 avenue de Grèce
 ALBASUD";82000;MONTAUBAN;TARN-ET-GARONNE;OCCITANIE;521760;1891693;27572;3821Z;Traitement et élimination des déchets non dangereux;;
