Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2003,2.62,9,> 100 000 PE,1.01,1.01,6.39,6.39,30.2,30.2,69.1,69.1,34.3,34.3,0.394,0.394,4.13,4.13,3.3,3.3,10.8,10.8,3.91,3.91,35,61,89,84,89,6.36,10.5,4.72,0.799,30,8.37,10.8,2.63,68.7,27.5,2.29,3.29,1.05,0.412,6.6899999999999995,4.32,31.6,3.4499999999999997,72.3,11.299999999999999,35.9,4.09
2004,0,405,unreported PE,0.636,0.636,3.94,3.94,17.9,17.9,43.3,43.3,23.7,23.7,0.318,0.318,2.63,2.63,2.76,2.76,9.13,9.13,3.67,3.67,33,50,85,79,85,6.19,8.27,4.53,1.05,28.1,8.68,11,3.47,68.1,28.7,2.43,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,0.105,1154,0 - 200 PE,0.0276,0.03328,0.225,0.22532,0.871,0.87225,2.1,2.10301,0.884,0.88527,0.0223,0.03082,0.232,0.23233,0.194,0.19519,0.476,0.47668,0.17,0.17104,-3,2,78,77,81,6.74,7.57,3.87,0.837,26.1,6.62,9.32,2.05,63.1,16.4,2.41,2.45,0.8720000000000001,0.8059999999999999,5.91,6.09,22.8,5.1000000000000005,55,12.5,23.2,4.4799999999999995
2004,0.925,1344,200 - 2 000 PE,0.387,0.38851,2.32,2.32289,10.1,10.11586,23.1,23.13628,10.1,10.11258,0.218,0.22084,1.3,1.30289,1.14,1.14396,4.27,4.27902,1.85,1.85945,44,43,89,82,82,5.99,5.9,4.36,0.881,26.1,5.21,9.99,3.3,59.8,19.4,2.29,3.75,1.15,0.656,6.88,3.85,30,3.3899999999999997,68.7,12.7,30,5.5
2004,1.31,317,2 000 - 10 000 PE,0.575,0.5799,3.21,3.23734,15.1,15.22863,35.9,36.20582,15.8,15.93459,0.287,0.28944,1.13,1.14693,1.05,1.05894,4.64,4.67953,2.28,2.29942,65,50,93,87,86,5.58,3.95,4.7,0.929,26.2,3.67,11.2,4.09,62.4,16.2,2.38,4.41,1.21,0.603,6.74,2.39,31.7,2.21,75.39999999999999,9.75,33.300000000000004,4.8
2004,3.49,141,10 000 - 100 000 PE,1.29,1.29,7.97,7.97,41.9,41.9,98.4,98.4,47.1,47.1,0.401,0.401,2.14,2.14,1.46,1.46,7.76,7.76,3.57,3.57,73,69,97,92,92,6.18,5.34,5.26,0.682,32.5,3.64,12.4,3.63,76.3,19.4,2.35,5.32,1.01,0.315,6.26,1.6800000000000002,32.9,1.15,77.3,6.09,37,2.8
2004,2.72,10,> 100 000 PE,1.04,1.04,6.47,6.47,29.8,29.8,69.4,69.4,35.5,35.5,0.342,0.342,3.62,3.62,2.9,2.9,11.6,11.6,3.91,3.91,44,67,90,83,89,6.24,10.6,4.6,0.799,28.7,8.47,10.7,3.19,66.8,33.8,2.33,3.99,1.05,0.345,6.52,3.65,30,2.92,69.9,11.6,35.8,3.94
2005,0,361,unreported PE,0.479,0.479,2.96,2.96,13.8,13.8,29.6,29.6,16.2,16.2,0.2,0.2,1.9,1.9,2.18,2.18,6.07,6.07,2.3,2.3,36,58,84,80,86,6.18,9.5,4.67,1.15,28.9,10.9,10,3.19,61.8,30.3,2.14,2.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0.114,1248,0 - 200 PE,0.0301,0.03608,0.245,0.24519,0.951,0.95167,2.29,2.29161,0.96,0.96068,0.0241,0.0332,0.251,0.25119,0.2,0.20107,0.498,0.49835,0.171,0.17192,-2,2,79,78,82,6.76,7.57,3.88,0.802,26.3,6.26,9.36,1.98,63.5,15.7,2.41,2.48,0.871,0.799,5.91,6.05,22.9,4.859999999999999,55.300000000000004,12,23.2,4.159999999999999
2005,0.964,1408,200 - 2 000 PE,0.446,0.44698,2.78,2.78214,11.5,11.51242,26.8,26.82895,10.9,10.90837,0.219,0.2219,1.28,1.28497,1.21,1.21329,4.32,4.32467,1.84,1.847,54,51,89,84,83,6.23,5.8,4.16,0.948,25.9,5.51,9.66,3.38,60.1,19.5,2.32,3.56,1.27,0.632,7.9,3.64,32.800000000000004,3.4499999999999997,76.2,12.3,31.099999999999998,5.25
