Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1996,3.06,15,> 100 000 PE,1.5,1.5,7.5,7.5,NA,NA,NA,NA,38,38,0.923,0.923,5.32,5.32,NA,NA,NA,NA,7.52,7.52,29,39,NA,NA,80,5,5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,0.825,6.7,4.75,NA,NA,NA,NA,33.9,6.720000000000001
1997,2.5e-4,2,0 - 200 PE,2.56e-4,6.4e-4,1.46e-4,3.6e-4,NA,NA,NA,NA,0.00106,0.00265,2.81e-4,2.8e-4,1.02e-4,2.6e-4,NA,NA,NA,NA,0.0012,0.0012,30,4,NA,NA,52,0.571,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3.0799999999999996,4,2.8,NA,NA,NA,NA,29,13.2
1997,0.123,126,200 - 2 000 PE,0.0707,0.07384,0.267,0.2777,NA,NA,NA,NA,1.12,1.15079,0.0445,0.0445,0.122,0.12956,NA,NA,NA,NA,0.223,0.223,53,42,NA,NA,83,3.79,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,0.988,6.159999999999999,2.8800000000000003,NA,NA,NA,NA,25.5,4.95
1997,0.679,149,2 000 - 10 000 PE,0.321,0.3241,1.47,1.47543,NA,NA,NA,NA,6.67,6.69464,0.182,0.182,0.494,0.50251,NA,NA,NA,NA,0.819,0.819,66,44,NA,NA,88,4.55,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,0.736,5.97,2.0300000000000002,NA,NA,NA,NA,27,3.31
1997,2.32,82,10 000 - 100 000 PE,1,1,4.67,4.67,NA,NA,NA,NA,24.9,25.22587,0.496,0.496,1.83,1.83,NA,NA,NA,NA,2.38,2.38,61,50,NA,NA,91,4.67,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1800000000000002,0.585,5.51,2.15,NA,NA,NA,NA,29.7,2.8
1997,3.18,16,> 100 000 PE,1.48,1.48,7.97,7.97,NA,NA,NA,NA,38.9,38.9,0.875,0.875,3.7,4.84292,NA,NA,NA,NA,8.37,8.37,38,41,NA,NA,79,5.39,5.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,0.754,6.87,4.18,NA,NA,NA,NA,33.6,7.21
1998,2.5e-4,2,0 - 200 PE,2.55e-4,6.4e-4,1.46e-4,3.6e-4,NA,NA,NA,NA,0.00106,0.00265,1.64e-4,1.6e-4,1.02e-4,2.6e-4,NA,NA,NA,NA,0.0012,0.0012,30,50,NA,NA,52,0.571,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1.8,4,2.8,NA,NA,NA,NA,29,13.2
1998,0.128,132,200 - 2 000 PE,0.0642,0.06876,0.265,0.27464,NA,NA,NA,NA,1.17,1.19138,0.0392,0.0392,0.119,0.1282,NA,NA,NA,NA,0.216,0.216,52,49,NA,NA,84,4,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.838,5.87,2.75,NA,NA,NA,NA,25.6,4.62
1998,0.679,148,2 000 - 10 000 PE,0.305,0.30613,1.46,1.4654,NA,NA,NA,NA,7.02,7.04595,0.162,0.162,0.48,0.48827,NA,NA,NA,NA,0.706,0.706,67,47,NA,NA,90,4.79,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,0.6539999999999999,5.92,1.97,NA,NA,NA,NA,28.400000000000002,2.85
1998,2.34,83,10 000 - 100 000 PE,0.926,0.926,4.66,4.66,NA,NA,NA,NA,28.1,28.4656,0.438,0.438,1.81,1.81,NA,NA,NA,NA,2.82,2.82,61,53,NA,NA,91,5.03,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.513,5.47,2.12,NA,NA,NA,NA,33.4,3.3
