Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2009,2.97,640,2 000 - 10 000 PE,1.13,1.14089,7.37,7.46751,27.4,27.45132,69.6,69.73035,33.5,33.56274,0.219,0.22209,1.26,1.29659,0.679,0.68536,5.2,5.2487,1.53,1.54433,83,81,97,92,95,6.55,5.87,3.68,0.525,24.1,3.08,9.36,4.02,61.3,23.6,2.54,7.67,1.05,0.205,6.890000000000001,1.2,25.3,0.632,64.3,4.8500000000000005,31,1.42
2009,7.33,245,10 000 - 100 000 PE,1.97,2.00173,16.1,16.71019,62.5,63.5067,151,153.43218,74.3,75.49676,0.28,0.28455,1.89,1.99257,0.972,0.98779,8.91,9.05471,1.87,1.90037,88,86,98,94,98,8.29,6.99,3.77,0.477,31.8,3.47,9.1,4.54,76.5,31.8,2.41,9.16,0.747,0.106,6.26,0.743,23.7,0.36900000000000005,57.2,3.3800000000000003,28.2,0.709
2009,6.25,28,> 100 000 PE,1.95,2.15712,13.5,15.31339,61.9,68.47458,152,168.14436,75.6,83.62969,0.317,0.317,2.14,2.18904,1.19,1.19,9.63,9.63,2.16,2.16,87,88,98,94,98,7.13,6.97,4.46,0.546,31.8,3.76,10.9,4.4,78.1,30.4,2.46,8.07,0.9460000000000001,0.13899999999999998,6.7299999999999995,0.958,30,0.523,73.89999999999999,4.22,36.7,0.9460000000000001
2010,0,135,unreported PE,0.179,0.179,1.4,1.4,5.57,5.57,13.2,13.2,6.38,6.38,0.0865,0.0865,0.622,0.622,0.265,0.265,1.56,1.56,0.507,0.507,55,52,95,88,92,7.82,7.2,3.91,0.401,30.6,2.95,9.24,2.36,72.2,17.4,2.37,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.0227,183,0 - 200 PE,0.0112,0.0115,0.0911,0.09361,0.314,0.32049,0.828,0.84133,0.396,0.40418,0.00513,0.00588,0.0365,0.04453,0.0271,0.03083,0.141,0.15961,0.0557,0.06337,54,51,91,82,85,8.09,7.63,3.42,0.676,27.7,5.27,9.03,3.55,73.1,27.3,2.64,5.19,1.39,0.71,11.299999999999999,5.37,38.6,3.72,101,19.2,48.7,7.6499999999999995
2010,1.04,1237,200 - 2 000 PE,0.394,0.40421,3.16,3.22447,11.6,11.74639,29.1,29.43856,14.1,14.27377,0.175,0.1847,0.911,1.01017,0.661,0.69149,3.82,3.99486,1.6,1.66874,69,54,94,86,88,7.97,5.52,3.64,0.674,29,3.74,9.16,3.94,72.9,21.6,2.52,5.78,1.07,0.488,8.489999999999998,2.66,30.8,1.82,77.60000000000001,10.5,37.6,4.41
2010,3.14,693,2 000 - 10 000 PE,0.996,1.00787,7.92,8.05935,28.2,28.37119,71.8,72.23587,35.4,35.6149,0.217,0.21963,1.44,1.47618,0.729,0.73455,5.55,5.59226,1.52,1.53157,82,78,97,92,96,7.96,6.74,3.54,0.498,28.2,3.36,9.01,3.79,71.7,25.5,2.54,7.61,0.879,0.191,7.029999999999999,1.2899999999999998,24.8,0.641,63,4.87,31,1.33
2010,7.27,244,10 000 - 100 000 PE,1.9,1.94742,14,14.66263,60.8,62.31729,149,152.71835,74.9,76.76916,0.244,0.24593,1.83,1.88805,0.904,0.91117,8.7,8.76897,1.66,1.68056,87,87,99,94,98,7.46,7.59,4.22,0.486,32.1,3.7,10.4,4.67,78.4,35.6,2.44,9.63,0.733,0.0927,5.52,0.712,23.5,0.34299999999999997,57.4,3.3,28.9,0.634
2010,6.25,28,> 100 000 PE,2.05,2.17163,13.7,16.0501,68.5,72.56423,166,175.84907,83.3,88.24234,0.305,0.31199,2.35,2.46024,1.7,1.73896,11,11.25209,2.31,2.36294,85,85,98,93,97,7.52,7.89,4.5,0.715,33.5,5.58,10.9,4.58,81.3,36,2.43,6.45,0.95,0.13699999999999998,7.029999999999999,1.08,31.8,0.763,77.3,4.92,38.699999999999996,1.0399999999999998
2011,0,92,unreported PE,0.13,0.13,1.03,1.03,3.77,3.77,8.96,8.96,4.19,4.19,0.061,0.061,0.438,0.438,0.202,0.202,1.13,1.13,0.435,0.435,57,53,94,87,90,7.91,7.19,3.67,0.461,29,3.32,8.72,2.56,69,18.5,2.38,5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
