Year,basin,PE_bin,sludge_production,sludge_spread,sludge_compost,sludge_landfill,sludge_incinerated,sludge_to_other_WWTP,sludge_industrial_valorisation,capacity,nb_WWTP
2011,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.175221,1740
2011,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,2.173315,3353
2011,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.178478,716
2011,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,7.163699,242
2011,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.387997,29
2011,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.113076,1145
2011,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.088758,1658
2011,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.507362,349
2011,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.196278,159
2011,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.7089,17
2011,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.108075,1007
2011,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.669823,2551
2011,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.971099,670
2011,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.031858,322
2011,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,11.340848,39
2012,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.002789,21
2012,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.200066,222
2012,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.69541,138
2012,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.511037,85
2012,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2012,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.009572,83
2012,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.255573,356
2012,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.787477,166
2012,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.558891,88
2012,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.20355,9
2012,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.035517,319
2012,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.064618,1510
2012,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.835768,450
2012,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,5.165262,178
2012,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,17.566299,26
2012,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.177251,1757
2012,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,2.213353,3408
2012,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.261036,737
2012,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,7.254699,244
2012,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.489997,30
2012,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.117241,1180
2012,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.126148,1713
2012,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.598503,369
2012,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.313278,161
2012,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.7089,17
2012,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.112117,1040
2012,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.708238,2606
2012,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.059482,688
2012,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.201261,330
2012,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,11.590848,40
2013,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.003029,23
2013,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.204936,230
2013,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.726477,143
2013,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.527087,86
2013,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2013,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.012541,105
2013,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.272164,396
2013,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.825097,171
