Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2000,0,2,unreported PE,0.00866,0.00866,0.0618,0.0618,0.366,0.366,0.937,0.937,0.363,0.363,4.79e-4,4.8e-4,0.0148,0.0148,0.0817,0.0817,0.196,0.196,0.0441,0.0441,47,44,58,60,73,7.13,30.8,5.92,5.53,42.2,171,15.2,13.3,108,410,2.56,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,0.00231,17,0 - 200 PE,0.00171,0.00171,0.0108,0.0108,0.0341,0.0341,0.0938,0.0938,0.0666,0.0666,0.00132,0.00132,0.00639,0.01133,0.0131,0.01382,0.042,0.042,0.0249,0.0249,18,23,60,55,63,6.33,7.52,3.15,0.997,19.9,10.1,8.66,3.75,54.8,31.7,2.75,3.2,2.0300000000000002,1.57,12.9,13.5,40.5,16.400000000000002,111,49.9,79.10000000000001,29.6
2000,0.162,195,200 - 2 000 PE,0.0779,0.07868,0.46,0.46257,1.87,1.87811,4.58,4.58,2.46,2.46,0.0532,0.05373,0.198,0.24039,0.491,0.49313,1.86,1.86807,1.05,1.05455,45,32,74,59,57,5.85,4.76,3.83,1.9,22.4,9.2,9.7,7.35,56.8,34.8,2.43,3.78,1.33,0.9079999999999999,7.82,4.0600000000000005,31.7,8.34,77.39999999999999,31.5,41.5,17.7
2000,0.699,151,2 000 - 10 000 PE,0.345,0.345,1.99,1.99,9.63,9.63,22.2,22.2,12.1,12.1,0.186,0.186,0.709,0.71814,0.963,0.963,3.82,3.82,2.32,2.32,64,46,90,83,81,5.75,3.99,4.85,1.28,27.9,5.19,11.2,5.09,64.3,20.6,2.3,3.96,1.35,0.728,7.779999999999999,2.81,37.699999999999996,3.77,87,15,47.199999999999996,9.08
2000,2.19,78,10 000 - 100 000 PE,0.986,0.986,5.35,5.35,29.4,29.4,64.1,64.1,31.5,31.5,0.326,0.326,1.75,1.75,1.54,1.54,7.47,7.47,2.02,2.02,67,67,95,88,94,5.42,5.37,5.5,0.881,29.9,4.74,12,4.27,65,22.9,2.18,4.84,1.23,0.40700000000000003,6.6899999999999995,2.19,36.8,1.9300000000000002,80.19999999999999,9.34,39.5,2.52
2000,2.57,5,> 100 000 PE,1.15,1.15,6.84,6.84,34.7,34.7,80.2,80.2,37.5,37.5,0.359,0.359,2.94,2.94,1.41,1.41,8.11,8.11,2.19,2.19,57,69,96,90,94,5.97,8.2,5.08,0.479,30.3,3.92,11.7,2.76,70,22.6,2.31,5.76,1.22,0.382,7.29,3.13,37,1.5,85.5,8.64,39.9,2.33
2001,0,2,unreported PE,0.00721,0.00721,0.0696,0.0696,0.327,0.327,0.823,0.823,0.271,0.271,5.74e-4,5.7e-4,0.0201,0.0201,0.0922,0.0922,0.239,0.239,0.0587,0.0587,17,-2,33,40,50,9.65,34.9,4.69,4.6,45.3,161,11.8,11.9,114,416,2.52,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0.00246,18,0 - 200 PE,0.00299,0.00299,0.0231,0.0231,0.0619,0.0619,0.158,0.158,0.0983,0.0983,0.00193,0.00193,0.0178,0.01966,0.018,0.018,0.0594,0.0594,0.0359,0.0359,21,36,71,62,64,7.72,9.61,2.68,0.963,20.7,9.33,6.83,3.17,52.7,30.8,2.55,3.3,3.33,2.15,25.7,21.9,69,20.1,176,66.19999999999999,110,40
2001,0.176,210,200 - 2 000 PE,0.0831,0.0831,0.564,0.564,2.09,2.09,5.15,5.15,2.74,2.74,0.0547,0.0547,0.311,0.33776,0.555,0.55944,1.86,1.86,1.25,1.25,40,34,73,64,54,6.79,6.2,3.7,1.65,25.1,10.2,9.13,5.47,62,34.1,2.47,3.36,1.2899999999999998,0.85,8.78,5.26,32.5,8.69,80.10000000000001,29,42.6,19.5
2001,0.721,155,2 000 - 10 000 PE,0.344,0.344,2.11,2.11,8.94,8.94,22.9,22.9,12.5,12.5,0.169,0.169,0.727,0.74834,0.79,0.79,3.05,3.05,1.38,1.38,65,51,91,87,89,6.14,4.43,4.24,1.05,26,4.66,10.9,4.04,66.7,18,2.56,3.86,1.31,0.644,8.02,2.85,34,3,87.1,11.6,47.6,5.24
