Code SANDRE;Date de mise en configuration actuelle;Date mise en service;Date de fermeture;Nom ouvrage;Commune d'implantation;Code insee commune;Cours d'eau;Entité Hydro;Masse d'eau;Code masse d'eau;X (L93);Y (L93);Capacité nominale;Unité;Exploitant;Maître d'ouvrage;Autorisation de rejet;Communes raccordées
"026738800376";"01/10/2003";"01/01/1980";"";"REICHSHOFFEN";"REICHSHOFFEN";"67388";"";"A3250210";"ZINSEL DU NORD 3";"FRCR166";"1040832";"6878237";"390";"kg/j DBO5";"CNE DE REICHSHOFFEN";"CNE DE REICHSHOFFEN";"";
"026723700338";"01/01/1980";"01/01/1980";"10/12/2002";"KILSTETT";"KILSTETT";"67237";"RUISSEAU LE MUHLRHEIN";"A3520690";"LANDGRABEN";"FRCR197";"1058123";"6852650";"126";"kg/j DBO5";"SIA DU CENTRE RIED";"SIA DU CENTRE RIED";"";
"028826600493";"01/01/1970";"01/01/1970";"";"LEPANGES-SUR-VOLOGNE";"LEPANGES-SUR-VOLOGNE";"88266";"";"A4340200";"VOLOGNE 3";"FRCR229";"972759";"6792019";"48";"kg/j DBO5";"CC BRUYERES-VALLONS DES VOSGES";"CC BRUYERES-VALLONS DES VOSGES";"";
"028808400475";"01/01/1977";"01/01/1977";"";"CHAMAGNE";"CHAMAGNE";"88084";"";"A4730560";"RUISSEAU DU GRAND BIEF";"FRCR720";"942274";"6817023";"36";"kg/j DBO5";"CNE DE CHAMAGNE";"CNE DE CHAMAGNE";"";
"025420102225";"01/04/2012";"01/04/2012";"";"FONTENOY-LA-JOUTE";"FONTENOY-LA-JOUTE";"54201";"";"A6310850";"MAZUROT";"FRCR301";"971164";"6823477";"24";"kg/j DBO5";"CNE DE FONTENOY LA JOUTE";"CNE DE FONTENOY LA JOUTE";"15/03/2011";
"025422902191";"21/03/2012";"21/03/2012";"";"GLONVILLE";"GLONVILLE";"54229";"";"A6310820";"MAZUROT";"FRCR301";"972700";"6826118";"32";"kg/j DBO5";"CNE DE GLONVILLE";"CNE DE GLONVILLE";"26/08/2010";
"025709901913";"25/03/2009";"25/03/2009";"";"BOURDONNAY";"BOURDONNAY";"57099";"";"A7560200";"SEILLE 2";"FRCR333";"973344";"6853219";"25";"kg/j DBO5";"CNE DE BOURDONNAY";"CNE DE BOURDONNAY";"12/11/2007";
"025753400233";"01/10/1968";"01/10/1968";"17/11/2003";"PELTRE";"PELTRE";"57534";"RUISSEAU ST-PIERRE";"A787079A";"ST-PIERRE";"FRCR369";"934858";"6890693";"69";"kg/j DBO5";"CNE DE PELTRE";"CNE DE PELTRE";"";
"025524500103";"01/01/1982";"01/01/1982";"";"MADINE LES EPINOTTES";"HEUDICOURT-SOUS-LES-COTES";"55245";"RUISSEAU DE BURNENAUX";"A7320570";"Etang de la Madine";"FRCL18";"900497";"6875413";"132";"kg/j DBO5";"SM DU LAC DE MADINE";"SM DU LAC DE MADINE";"";
"025405100043";"01/01/1979";"01/01/1979";"";"BATILLY";"BATILLY";"54051";"";"A8210660";"RUISSEAU DE L'ABREUVAUX";"FRCR390";"916364";"6901479";"153";"kg/j DBO5";"CNE DE BATILLY";"CNE DE BATILLY";"01/01/1978";
"025711700137";"01/01/1984";"01/01/1984";"30/08/2011";"BUDING";"BUDING";"57117";"";"A8730200";"CANNER";"FRCR404";"941065";"6920075";"115,8";"kg/j DBO5";"SIE DE L' EST THIONVILLOIS";"SIE DE L' EST THIONVILLOIS";"";
"025710400133";"01/01/1978";"01/01/1978";"06/12/2007";"BOUST";"BOUST";"57104";"RUISSEAU DE BOLER";"A881020A";"RUISSEAU DE BOLER";"FRCR405";"931880";"6931146";"51";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"CC DE CATTENOM ET ENVIRONS";"";
"025734501320";"01/01/2001";"01/01/2001";"";"INGLANGE";"INGLANGE";"57345";"";"A8730200";"CANNER";"FRCR404";"939952";"6921354";"8,4";"kg/j DBO5";"SIA DE KOENIGSMACKER MALLING & HUNTING";"SIA DE KOENIGSMACKER MALLING & HUNTING";"";
"025735902077";"01/05/2011";"01/05/2011";"";"KEMPLICH";"KEMPLICH";"57359";"";"A9920300";"ANZELINGERBACH";"FRCR465";"946930";"6919989";"";"kg/j DBO5";"CNE DE KEMPLICH";"CNE DE KEMPLICH";"";
"025727301950";"30/09/2010";"30/09/2010";"";"GUERSTLING";"GUERSTLING";"57273";"";"A9940120";"NIED REUNIE 2";"FRCR419";"959591";"6919929";"192";"kg/j DBO5";"LYONNAISE DES EAUX FRANCE";"SIA DU PAYS BOUZONVILLOIS";"18/12/2008";
"025764400262";"01/12/1973";"01/12/1973";"";"SEINGBOUSE";"SEINGBOUSE";"57644";"";"A9510410";"ROSSELLE 2";"FRCR456";"979149";"6897823";"75";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX";"CC DE FREYMING-MERLEBACH";"01/07/1985";
"025726300176";"01/11/1987";"01/11/1987";"";"GRUNDVILLER";"GRUNDVILLER";"57263";"";"A9150430";"MODERBACH";"FRCR434";"990309";"6889497";"36";"kg/j DBO5";"CA SARREGUEMINES CONFLUENCES";"CA SARREGUEMINES CONFLUENCES";"31/07/1986";
