Numouvep,Nomouvep,Numineco,Coola2ex,Coola2ey,Coola2ez,Codhyd,Libcodhyd,Numnat,Codeurme,Nommasea,Datmises,Datfer,Datautre,Datcnfac,Nomcom,Coddep,Libdep,Codmilsu,Libmilsu,Valcapst,Valcapconstructeur,Unicapst,Codpar,Maitre Ouvrage,Exploitant,Coola2ex Rjet,Coola2ey Rjet,Type Ouvrage,Cap Traitmt Reglmt,Debit Reference,Debit Moy Jour,Debit Horair Pointe,Code Hydro
70,LONGUYON ,54322,888016,6930811,,B420010C,RIVIERE LA CHIERS,25432200070,FRB1R722,CHIERS 2,1/1/56,9/15/04,,,LONGUYON,54,MEURTHE-ET-MOSELLE,B4--0100,La Chiers,252,252,kg/j DBO5,86,COMMUNE DE VITRIMONT,LAMI DOMISI LADORE,,,Lit Bactérien,,,900,112,B4200100
2373,MAIRY-MAINVILLE_MAINVILLE ,54334,907192,6913997,,A8300200,RUISSEAU LE WOIGOT,25433402373,FRCR393,WOIGOT 1,6/1/13,,2/24/11,,MAIRY-MAINVILLE,54,MEURTHE-ET-MOSELLE,A83-0200,Le Woigot,27,18,kg/j DBO5,86,,,907219,6914033,Filtres plantés de Roseaux,300,94,90,3.7,
2527,NORROY-LE-SEC ,54402,904324,6912735,,B4300420,RUISSEAU LE BREUIL,25440202527,FRB1R550,OTHAIN 1,6/1/15,,3/1/13,,NORROY-LE-SEC,54,MEURTHE-ET-MOSELLE,B4300420,Ruisseau le Breuil,34,25,kg/j DBO5,86,COMMUNE DE CARLING,COMMUNE DE CARLING,904264,6912908,Filtres plantés de Roseaux,388,190,115,4.8,
82,PIERREPONT ,54428,896235,6927662,,B4130200,RIVIERE LA CRUSNES,25442800082,FRB1R547,CRUSNES 2,1/1/58,,,,PIERREPONT,54,MEURTHE-ET-MOSELLE,B41-0200,La Crusnes,96,96,kg/j DBO5,86,,,,,Boues Activées,,,128,16,
1902,SAINT-AIL ,54469,917981,6902100,,A8230330,RUISSEAU DE STE-MARIE via ruisseau de l'anneau,25446901902,FRCR392,RUISSEAU DE STE-MARIE,7/1/08,,2/5/07,,SAINT-AIL,54,MEURTHE-ET-MOSELLE,A8230330,Ruisseau de Ste-Marie,19.5,18,kg/j DBO5,86,COMMUNE DE HETTANGE-GRANDE,COMMUNE DE HETTANGE-GRANDE,917913,6902109,Bassin d'Infiltration,500,197,73,9,
2386,ST-MAURICE-SS-LES-COTES ,55462,896324,6882968,,A8160510,RUISSEAU LA SEIGNEULLE,25546202386,FRCR383,LONGEAU (AFFL. YRON),3/1/14,,8/6/12,,SAINT-MAURICE-SOUS-LES-COTES,55,MEUSE,A8160510,Ruisseau la Seigneulle,19,22,kg/j DBO5,86,COMMUNE DE LIGSDORF,COMMUNE DE LIGSDORF,896324,6883077,Filtres plantés de Roseaux,370,105,65,5.4,
2473,VERNEUIL-PETIT ,55547,874590,6940654,,B4240470,ruisseau de la Naue,25554702473,FRB1R722,CHIERS 2,4/1/13,,11/24/11,,VERNEUIL-PETIT,55,MEUSE,B4240470,Ruisseau de la Neau,15,15,kg/j DBO5,86,ARTISANS COIFFEURS,ARTISANS COIFFEURS,874640,6940623,Filtres plantés de Roseaux,210,,49,4,
232,VALLEE DE L'ORNE ,57582,930326,6912701,,A844010A,RIVIERE L'ORNE,25758200232,FRCR381,ORNE 2,1/1/73,11/30/99,,,RICHEMONT,57,MOSELLE,A8--0100,L'Orne,3540,3540,kg/j DBO5,86,SIA DE LENING FRANCALTROFF,,930263,6912818,,,,16560,976,A8440100
2459,PHILIPPSBOURG_VILLAGE ,57541,1033663,6885041,,A3220210,Falkensteinbach,25754102459,FRCR167,FALKENSTEINBACH 1,12/17/14,,10/8/12,,PHILIPPSBOURG,57,MOSELLE,A32-0210,Le Falkensteinbach,22,24,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1034146,6885070,Filtres plantés de Roseaux,400,78,73,6,
1204,BISCHWILLER ,67046,1058901,6861808,,A3320100,RIVIERE LA MODER,26704601204,FRCR155,MODER 4,9/1/99,,8/11/97,,BISCHWILLER,67,BAS-RHIN,A3--0100,La Moder,2106,2100,kg/j DBO5,86,,,1058968,6861849,Boues Activées - traitement Azote - traitement Phosphore,35000,,6170,771,
