Année;code_STEP;Nom_STEP;Capacité_EH;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau_2010;Nom_Masse_Eau_2010;Code_Masse_Eau_2016;Nom_Masse_Eau_2016
2015;060930092002;Connaux                       ;7000;Biologique avec nitrification et dénitrification;828432;6334704;828466;6334743;1;30092;CONNAUX;30;76;;;;;
2015;060930092002;Connaux                       ;7000;Biologique avec nitrification et dénitrification;828432;6334704;828466;6334743;1;30092;CONNAUX;30;76;;;;;
2015;060930095002;Corconne;1200;Filtres plantés;775749;6307892;;;;30095;CORCONNE;30;76;;;;;
2015;060930096002;Cornillon                     ;2000;Biologique avec nitrification et dénitrification;820020;6346742;820060;6346726;1;30096;CORNILLON;30;76;;;;;
2015;060930096002;Cornillon                     ;2000;Biologique avec nitrification et dénitrification;820020;6346742;820060;6346726;1;30096;CORNILLON;30;76;;;;;
2015;060930097001;Courry;550;Filtres plantés;792723;6356737;792680;6356775;2;30097;COURRY;30;76;;;;;
2015;060930098001;Crespian;300;Filtres plantés;788085;6310440;788045;6310410;1;30098;CRESPIAN;30;76;;;;;
2015;060930101001;Deaux                         ;750;Biologique Simple;792700;6330546;792709;6330607;1;30101;DEAUX;30;76;;;;;
2015;060930102001;Dions;700;Biologique avec nitrification;803562;6315880;803559;6315847;1;30102;DIONS;30;76;;;;;
2015;060930103002;Domazan;1000;Biologique avec nitrification et dénitrification;832549;6315459;832497;6315522;2;30103;DOMAZAN;30;76;;;;;
2015;060930104002;Domessargues;1200;Filtres plantés;794280;6319700;794273;6319664;1;30104;DOMESSARGUES;30;76;FRDR11699;ruisseau de l'auriol;;;
2015;060930106002;Durfort Et St Martin De Sossen;1000;Filtres plantés;777178;6321555;777248;6321605;1;30106;DURFORT ST MARTIN DE SOSSENAC;30;76;;;;;
2015;060930107001;Estezargues;500;Biologique Simple;830956;6317011;830959;6317003;2;30107;ESTEZARGUES;30;76;;;;;
2015;060930108001;L'Estrechure                  ;250;Biologique Simple;763197;6334433;763203;6334445;1;30108;L ESTRECHURE;30;76;;;;;
2015;060930110001;Flaux                         ;550;Biologique avec nitrification;819267;6325878;819258;6325910;1;30110;FLAUX;30;76;;;;;
2015;060930111002;Foissac;650;Filtres plantés;803635;6327005;803600;6326890;1;30111;FOISSAC;30;76;FRDR10792;rivière le bourdic;;;
2015;060930113002;Fons Sur Lussan ;500;Biologique Simple;806666;6343838;806534;6343833;2;30113;FONS SUR LUSSAN;30;76;;;;;
2015;060930114002;Fontanes;800;Filtres plantés;787183;6304697;787169;6304567;2;30114;FONTANES;30;76;;;;;
