Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;libelle_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau;Nom_Masse_Eau
2008;060930295002;STATION D'EPURATION DE ST QUENTIN LA POTERIE;3000;Biologique avec nitrification et déphosphatation;814959;6327459;814922;6327444;2;Précision +- 500 mètres;30295;ST QUENTIN LA POTERIE;30;LANGUEDOC-ROUSSILLON;FRDR10224;Alzon et Seynes
2008;060934053001;STATION D'EPURATION DE CARLENCAS ET LEVAS;100;Biologique Simple;718174;6281853;718174;6281853;1;Précision +- 50 mètres;34053;CARLENCAS ET LEVAS;34;LANGUEDOC-ROUSSILLON;FRDR10680;ruisseau le vernoubrel
2008;060934126001;STATION D'EPURATION DE LAMALOU LES BAINS;5000;Biologique avec nitrification;706276;6276399;706287;6276320;1;Précision +- 50 mètres;34126;LAMALOU LES BAINS;34;LANGUEDOC-ROUSSILLON;FRDR154a;L'Orb de la confluence avec la Mare à la confluence avec le Jaur
2008;060911340001;STATION D'EPURATION DE SAINTE EULALIE;500;Biologique avec nitrification;636448;6238920;636478;6238934;1;Précision +- 50 mètres;11340;STE EULALIE;11;LANGUEDOC-ROUSSILLON;FRDR189;Le Fresquel du ruisseau de Tréboul à la Rougeanne
2008;060973248001;STATION D'EPURATION DE ST JEAN DE MAURIENNE;22000;Biologique avec nitrification et dénitrification;962685;6470865;962773;6470930;1;Précision +- 50 mètres;73248;ST JEAN DE MAURIENNE;73;RHONE-ALPES;FRDR358;L'Arc de l'Arvan à la confluence avec l'Isère
2008;060966088001;ANCIENNE STATION D'EPURATION D'ILLE SUR TET;7500;Biologique avec nitrification;669240;6175165;669240;6175344;1;Précision +- 50 mètres;66088;ILLE SUR TET;66;LANGUEDOC-ROUSSILLON;FRDR224;La Têt du barrage de Vinca à la Comelade
2008;060901252001;STATION D'EPURATION DE MOGNENEINS;475;Lagunage;839671;6562472;839560;6562534;1;Précision +- 50 mètres;01252;MOGNENEINS;01;RHONE-ALPES;FRDR1807a;La Saône de la confluence avec le Doubs à Villefranche sur Saône
2008;060901279001;STATION D'EPURATION DE ONCIEU;100;Décantation primaire ou fosse toutes eaux;891668;6542228;891314;6541864;1;Précision +- 50 mètres;01279;ONCIEU;01;RHONE-ALPES;FRDR486;L'Albarine du bief des Vuires à Torcieu
2008;060901360002;STATION D'EPURATION DE ST JEAN DE GONVILLE;2250;Biologique avec nitrification;928844;6571317;928870;6571292;1;Précision +- 50 mètres;01360;ST JEAN DE GONVILLE;01;RHONE-ALPES;FRDR547b;Le Lion et l'Allondon de leur confluence à la Suisse
2008;060901367001;STATION D'EPURATION DE ST JULIEN  SUR REYSSOUZE;900;Biologique avec nitrification;861782;6591334;861752;6591312;1;Précision +- 50 mètres;01367;ST JULIEN SUR REYSSOUZE;01;RHONE-ALPES;FRDR593c;La Reyssouze de la confluence avec le Reyssouzet à la Saône
2008;060921231001;STATION D'EPURATION DE DIJON (EAUVITALE);400000;Biologique avec nitrification et dénitrification;857031;6690038;857236;6689702;1;Précision +- 50 mètres;21231;DIJON;21;BOURGOGNE;FRDR10572;ruisseau le suzon
2008;060971242001;STATION D'EPURATION DE JONCY;700;Biologique avec nitrification;819442;6612765;819563;6612750;1;Précision +- 50 mètres;71242;JONCY;71;BOURGOGNE;FRDR604;La Guye
2008;060934040001;STATION D'EPURATION DE BRENAS;50;Décantation primaire ou fosse toutes eaux;720717;6283562;720717;6283562;1;Précision +- 50 mètres;34040;BRENAS;34;LANGUEDOC-ROUSSILLON;FRDR167;Le Salagou
2008;060966107001;STATION D'EPURATION DE MAURY;1400;Biologique avec nitrification;667452;6190041;667493;6190022;1;Précision +- 50 mètres;66107;MAURY;66;LANGUEDOC-ROUSSILLON;FRDR216;Riv. de Maury
2008;060970253001;STATION D'EPURATION DE FRASNE LE CHATEAU;1000;Biologique avec nitrification;917845;6711631;917852;6711663;1;Précision +- 50 mètres;70253;FRASNE LE CHATEAU;70;FRANCHE-COMTE;FRDR10650;ruisseau la jouanne
2008;060971550001;STATION D'EPURATION DE UCHIZY;810;Lagunage;845571;6601402;845511;6601491;1;Précision +- 50 mètres;71550;UCHIZY;71;BOURGOGNE;FRDR1807a;La Saône de la confluence avec le Doubs à Villefranche sur Saône
2008;060930108001;STATION D EPURATION DE L'ESTRECHURE;250;Biologique Simple;763197;6334433;763203;6334445;1;Précision +- 50 mètres;30108;L ESTRECHURE;30;LANGUEDOC-ROUSSILLON;FRDR382;Le Gard de sa source au Gardon de Saint Jean inclus et le Gardon de Sainte Croix
2008;060911423001;STATION D'EPURATION DE VILLEFLOURE;100;Décantation primaire ou fosse toutes eaux;649445;6224907;649448;6224905;1;Précision +- 50 mètres;11423;VILLEFLOURE;11;LANGUEDOC-ROUSSILLON;FRDR11470;ruisseau la lauquette
2008;060913004008;STATION D'EPURATION DE ARLES - HAMEAU DU SAMBUC;450;Filtres plantés;837265;6270803;837180;6270799;2;Précision +- 500 mètres;13004;ARLES;13;PROVENCE-ALPES-COTE D'AZUR;;
2008;060901449001;STATION D'EPURATION DE VILLETTE SUR AIN - CHEF LIEU;600;Lagunage;876157;6545837;876200;6545936;1;Précision +- 50 mètres;01449;VILLETTE SUR AIN;01;RHONE-ALPES;FRDR10230;bief de la fougère
2008;060904085001;STATION D'EPURATION DE FAUCON DU CAIRE;150;Lagunage;945617;6370736;945642;6370709;1;Précision +- 50 mètres;04085;FAUCON DU CAIRE;04;PROVENCE-ALPES-COTE D'AZUR;FRDR11729;torrent du grand vallon
2008;060904195002;STATION D'EPURATION DE BARCELONNETTE - ST PONS;38000;Biologique avec nitrification et déphosphatation;987065;6371631;987314;6371518;1;Précision +- 50 mètres;04195;ST PONS;04;PROVENCE-ALPES-COTE D'AZUR;FRDR302;L'Ubaye, le Bachelard  et le Grand Riou de la Blanche
2008;060984030002;STATION D'EPURATION DE CAROMB;4000;Biologique avec nitrification;867983;6334691;867999;6334586;1;Précision +- 50 mètres;84030;CAROMB;84;PROVENCE-ALPES-COTE D'AZUR;FRDR388b;La Mède aval
2008;060926036001;STATION D'EPURATION DE BEAUMONT EN DIOIS;270;Filtration-infiltration;896176;6388018;896200;6388018;3;Localisation imprécise;26036;BEAUMONT EN DIOIS;26;RHONE-ALPES;FRDR11592;torrent de nière gourzine
2008;060984032002;STATION D'EPURATION DE CASENEUVE - BOISSET;50;Décantation primaire ou fosse toutes eaux;898440;6310296;898478;6310267;1;Précision +- 50 mètres;84032;CASENEUVE;84;PROVENCE-ALPES-COTE D'AZUR;FRDR245a;Le Coulon de sa source à  Apt et la Doa
2008;060983080001;STATION D'EPURATION DE MONS;1000;Biologique Simple;999948;6294326;999963;6294303;1;Précision +- 50 mètres;83080;MONS;83;PROVENCE-ALPES-COTE D'AZUR;FRDR11549;Rivière la Siagnole des Mons
2008;060920101001;STATION D EPURATION DE CROCE;200;Biologique avec nitrification;1224097;6167150;1224097;6167150;1;Précision +- 50 mètres;20101;CROCE;2B;CORSE;FRER11280;ruisseau de pozzo bianco
2008;060934277005;STATION D'EPURATION DE ST MAURICE NAVACELLES MADIERES;100;Biologique Simple;745377;6306204;745388;6306226;1;Précision +- 50 mètres;34277;ST MAURICE NAVACELLES;34;LANGUEDOC-ROUSSILLON;FRDR172;La Vis
2008;060971170002;STATION D'EPURATION DE DEMIGNY - LA CHAPELLE;160;Lagunage;841202;6648074;841249;6648106;1;Précision +- 50 mètres;71170;DEMIGNY;71;BOURGOGNE;FRDR11618;ruisseau la vandaine
2008;060925273001;STATION D'EPURATION DE GLAMONDANS;150;Décantation primaire ou fosse toutes eaux;948493;6690351;948493;6690351;3;Localisation imprécise;25273;GLAMONDANS;25;FRANCHE-COMTE;;
2008;060966166001;STATION D'EPURATION DE SAHORRE;900;Biologique avec nitrification;647600;6160014;647589;6160069;2;Précision +- 500 mètres;66166;SAHORRE;66;LANGUEDOC-ROUSSILLON;FRDR227;Rivière de Rotja
2008;060970336002;STATION D'EPURATION DE MELECEY ET FALLON;700;Lagunage;962446;6719541;962482;6719113;1;Précision +- 50 mètres;70336;MELECEY;70;FRANCHE-COMTE;FRDR660;Le Scey
2008;060925313001;STATION D'EPURATION DE HYEVRE - PAROISSE;200;Biologique avec nitrification;958966;6702700;958966;6702700;3;Localisation imprécise;25313;HYEVRE PAROISSE;25;FRANCHE-COMTE;FRDR625;Le Doubs de la confluence avec l'Allan jusqu'en amont du barrage de Crissey
2008;060907009001;STATION D'EPURATION DE ANDANCE;4000;Biologique avec nitrification;841618;6459024;841697;6459090;1;Précision +- 50 mètres;07009;ANDANCE;07;RHONE-ALPES;FRDR2006;Le Rhône de la confluence Saône à la confluence Isère
2008;060971443002;STATION D'EPURATION DE ST LOUP GEANGES - BOURG;650;Lagunage;845676;6651721;845755;6651640;1;Précision +- 50 mètres;71443;ST LOUP GEANGES;71;BOURGOGNE;FRDR608;La Dheune du ruisseau de Meursault à la Saône
2008;060901080001;STATION D'EPURATION DE CHAMPDOR;700;Biologique avec nitrification;900480;6549736;900392;6549739;1;Précision +- 50 mètres;01080;CHAMPDOR;01;RHONE-ALPES;FRDR487;L'Albarine de sa source au bief du Vuires
2008;060971253001;STATION D'EPURATION DE LANS;840;Lagunage;845444;6631513;845284;6631494;1;Précision +- 50 mètres;71253;LANS;71;BOURGOGNE;FRDR10651;bief de la prare ruisseau
2008;060925243002;STATION D'EPURATION DE FLANGEBOUCHE;750;Biologique avec nitrification;962732;6678148;962758;6678221;1;Précision +- 50 mètres;25243;FLANGEBOUCHE;25;FRANCHE-COMTE;;
2008;060930317001;STATION D'EPURATION DE SERNHAC;1600;Biologique avec nitrification;826109;6313837;826227;6313858;2;Précision +- 500 mètres;30317;SERNHAC;30;LANGUEDOC-ROUSSILLON;FRDR12120;Le Bournigues
2008;060971143001;STATION D'EPURATION DE CONDAL-LOTISSEMENT;100;Lagunage;875820;6598971;875775;6598955;1;Précision +- 50 mètres;71143;CONDAL;71;BOURGOGNE;FRDR598;Le Sevron et le Solnan
2008;060971328002;STATION D'EPURATION DE NANTON - VINCELLES;100;Lagunage;838757;6616228;838768;6616161;1;Précision +- 50 mètres;71328;NANTON;71;BOURGOGNE;FRDR603;Le Grison
2008;060930091002;STATION D'EPURATION DE CONGENIES;1500;Biologique avec nitrification;793669;6297648;793707;6297640;1;Précision +- 50 mètres;30091;CONGENIES;30;LANGUEDOC-ROUSSILLON;FRDR11312;ruisseau le rhony
2008;060901240001;STATION D'EPURATION DE MATAFELON GRANGES;300;Biologique Simple;897057;6576084;897063;6576102;1;Précision +- 50 mètres;01240;MATAFELON GRANGES;01;RHONE-ALPES;FRDL43;retenue de Charmine-Moux
2008;060984090003;STATION D'EPURATION DE PEYPIN D'AIGUES - LES DONES;120;Filtration-infiltration;907833;6302456;907845;6302426;2;Précision +- 500 mètres;84090;PEYPIN D AIGUES;84;PROVENCE-ALPES-COTE D'AZUR;FRDR11133;torrent de saint-pancrace
2008;060920271003;STATION D'EPURATION DE SARROLA CARCOPINO - EFFRICO;1700;Biologique Simple;1182723;6114222;1183070;6114230;2;Précision +- 500 mètres;20271;SARROLA CARCOPINO;2A;CORSE;FRER38;La Gravona du ruisseau des Moulins au Prunelli
2008;060984037001;STATION D'EPURATION DE CHATEAUNEUF DU PAPE;7000;Biologique avec nitrification;846703;6328399;845665;6327865;1;Précision +- 50 mètres;84037;CHATEAUNEUF DU PAPE;84;PROVENCE-ALPES-COTE D'AZUR;FRDR2008;Le Rhône d'Avignon à Beaucaire
2008;060983125002;STATION D'EPURATION DE SEILLONS SOURCE D ARGENS;2000;Biologique Simple;933970;6269905;934569;6269732;1;Précision +- 50 mètres;83125;SEILLONS SOURCE D ARGENS;83;PROVENCE-ALPES-COTE D'AZUR;FRDR110;L'Argens de sa source au Caramy, l'Eau Salée incluse, l'aval du Caramy inclus
2008;060934232001;STATION D'EPURATION DE ROQUEBRUN;1200;Lagunage;702506;6265304;702682;6265299;1;Précision +- 50 mètres;34232;ROQUEBRUN;34;LANGUEDOC-ROUSSILLON;FRDR154b;L'Orb de la confluence avec le jaur à la confluence avec le Vernazobre
2008;060938155001;STATION D'EPURATION DE ENTRE DEUX GUIERS;1350;Biologique Simple;914295;6485483;914284;6485474;1;Précision +- 50 mètres;38155;ENTRE DEUX GUIERS;38;RHONE-ALPES;FRDR517c;Guiers mort aval et Guiers vif aval jusqu'à la confluence avec le Guiers
