code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
020832801510,NOUZONVILLE,9743.000000000002,5.622240999999998,111,82.8,13.4,Rhin-Meuse
020805302198,BAZEILLES,9666.666666666668,5.631907666666665,112,83,13.5,Rhin-Meuse
025415202416,DAMELEVIERES,9633.333333333334,5.641540999999998,113,83.1,13.6,Rhin-Meuse
028816501289,ETIVAL-CLAIREFONTAINE,9540,5.651080999999998,114,83.3,13.7,Rhin-Meuse
025732301339,HETTANGE-GRANDE,9400,5.660480999999998,115,83.4,13.9,Rhin-Meuse
026746001617,SCHWINDRATZHEIM,9135,5.669615999999998,116,83.5,14,Rhin-Meuse
026719400329,HERRLISHEIM,9050,5.678665999999998,117,83.7,14.1,Rhin-Meuse
026740900380,ROPPENHEIM,8775,5.687440999999998,118,83.8,14.2,Rhin-Meuse
025431802418,LIVERDUN,8766.666666666668,5.696207666666665,119,83.9,14.3,Rhin-Meuse
025708900129,BITCHE,8700,5.704907666666665,120,84.1,14.5,Rhin-Meuse
020827601404,MARGUT,8675,5.713582666666665,121,84.2,14.6,Rhin-Meuse
028810601968,BAN-SUR-MEURTHE-CLEFCY,8633.333333333334,5.722215999999998,122,84.3,14.7,Rhin-Meuse
026752000406,WASSELONNE,8600,5.730815999999998,123,84.4,14.8,Rhin-Meuse
026823001236,NAMBSHEIM,8550,5.739365999999998,124,84.6,14.9,Rhin-Meuse
025717902253,DISTROFF-METZERVISSE,8416.666666666668,5.747782666666665,125,84.7,15.1,Rhin-Meuse
026817500444,LAPOUTROIE,8415,5.756197666666665,126,84.8,15.2,Rhin-Meuse
026706900299,BUHL,8350,5.764547666666665,127,84.9,15.3,Rhin-Meuse
026732500362,NIEDERHASLACH,8100,5.772647666666665,128,85.1,15.4,Rhin-Meuse
025403901313,BACCARAT,7740,5.780387666666665,129,85.2,15.5,Rhin-Meuse
026815200437,ILLFURTH,7700,5.788087666666665,130,85.3,15.7,Rhin-Meuse
025233202280,VAL-DE-MEUSE MONTIGNY-LE-,7500,5.795587666666665,131,85.4,15.8,Rhin-Meuse
025710601462,BOUZONVILLE,7500,5.8030876666666655,132,85.5,15.9,Rhin-Meuse
025737001965,KOENIGSMACKER,7500,5.810587666666665,133,85.6,16,Rhin-Meuse
