identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite_admise;quantite_traitee;unite
00       87012003;S.A TERRALYS;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;26067.760;26080.000;t/an
0006207447;LOR COMPOST (site d'Avricourt);Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;7;Fèces, urines et fumier animaux;4000.000;4000.000;t/an
0006305041;Unité de compostage de Neufchâtel;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);14292.000;14280.000;t/an
0005800313;SONOLUB;Traitement de déchets non dangereux;2008;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);;;9;Déchets banals des entreprises;12.880;12.880;t/an
0006103190;TREDI;Traitement de déchets non dangereux;2008;D10;D10 Incinération à terre;;;3;Déchets soins médicaux ou vétérinaires et déchets biologiques;345.520;345.360;t/an
0016300241;AUBERT ET DUVAL;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;15;Emballages et déchets d'emballages, absorbants, chiffons d'essuyage, matériaux filtrants et vêtements de protection non spécifiés ailleurs :;29894.800;29880.000;t/an
0005800492;CITRON SA;Traitement de déchets non dangereux;2008;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;10;Dechets provenant de procedes thermiques :;1778.536;1620.400;t/an
0006700413;TREDI Strasbourg;Traitement de déchets non dangereux;2008;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;10;Dechets provenant de procedes thermiques :;4.152;4.160;t/an
0006207157;SYDEME - Plate-forme de valorisation des déchets verts;Traitement de déchets non dangereux;2008;D8 ;D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12;;;4;Déchets de bois;20000.000;19360.000;t/an
0016400362;SUEZ RV Centre Est;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;8;Ordures ménagères;224916.000;224800.000;t/an
0006500641;GEREP;Traitement de déchets non dangereux;2008;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;10;Dechets provenant de procedes thermiques :;339.224;339.188;t/an
0010004362;SUEZ RV CENTRE OUEST - ORVAL;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;10;Dechets provenant de procedes thermiques :;1782.320;1784.000;t/an
0006900169;Décharge de Sinnamary;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);"";"";8;Ordures ménagères;2800.000;2800.000;t/an
0010007837;SITA Centre Ouest - Site de Velles;Traitement de déchets non dangereux;2008;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;4;Déchets de bois;144.000;11160.000;t/an
0006103879;SYTRAIVAL;Traitement de déchets non dangereux;2008;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;8;Ordures ménagères;310808.000;310800.000;t/an
0006300901;SECHE ECO INDUSTRIES site de L'Oisonnière;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;11;Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :;1812.160;1812.000;t/an
0020800064;LOMBRICORSE Poggio di Venaco;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;4;Déchets de bois;4800.000;4800.000;t/an
0010003878;CIMENTS CALCIA - SITE DE BEFFES;Traitement de déchets non dangereux;2008;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;10;Dechets provenant de procedes thermiques :;1231.040;1232.000;t/an
0006400365;ISDND LA GLACIERE;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;8;Ordures ménagères;915444.600;916000.000;t/an
0007100070;SUEZ RV Réunion;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);"";"";8;Ordures ménagères;423856.000;423856.000;t/an
0006400322;OREDUI;Traitement de déchets non dangereux;2008;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;9;Déchets banals des entreprises;359.868;360.192;t/an
0028300660;AGRIOPALE SERVICES - site de cormont;Traitement de déchets non dangereux;2008;D3 ;D3 Injection en profondeur (par exemple, injection des déchets pompables dans des puits, des dômes de sel ou des failles géologiques naturelles, etc.);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);44000.000;44000.000;t/an
0006406274;SPUR ENVIRONNEMENT Rognac;Traitement de déchets non dangereux;2008;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;9;Déchets banals des entreprises;792.516;792.592;t/an
0007000951;SOTRENOR;Traitement de déchets non dangereux;2008;D10;D10 Incinération à terre;;;6;Déchets animaux de la préparation des aliments et produits alimentaires;70.080;70.000;t/an
0010007112;SUEZ RV CENTRE OUEST - ORCHAISE;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;8;Ordures ménagères;13.040;13.040;t/an
0005515506;RENNES METROPOLE;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;8;Ordures ménagères;12718.720;12720.000;t/an
0005701563;SUEZ RV NORD EST  - Dormans;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;9;Déchets banals des entreprises;130680.000;130800.000;t/an
0005505505;TRANSELI;Traitement de déchets non dangereux;2008;D8 ;D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12;;;2;Boues d'effluents industriels;4404.000;4400.000;t/an
0005702478;SUEZ RV NORD EST - SAINT-AUBIN;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;8;Ordures ménagères;75588.000;75600.000;t/an
0006107131;NICOLLIN SAS;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;8;Ordures ménagères;5083.760;5080.000;t/an
0006200226;SKTB Aluminium;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;9;Déchets banals des entreprises;800.000;488.000;t/an
0005800441;Chapelle Darblay;Traitement de déchets non dangereux;2008;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;11;Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :;0.000;28680.000;t/an
0025300013;Communauté de Communes du Pays de Gueugnon;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;14;Déchets de solvants organiques, d'agents réfrigérants et propulseurs (sauf chapitres 07 et 08) :;382.720;382.800;t/an
0006802560;ECONOTRE;Traitement de déchets non dangereux;2008;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;8;Ordures ménagères;479016.000;480000.000;t/an
0007001271;ARF;Traitement de déchets non dangereux;2008;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);;;9;Déchets banals des entreprises;3287.340;3290.504;t/an
0005207438;NATURA 2004 (SARL) - 'Tuyas';Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;4;Déchets de bois;8400.000;8400.000;t/an
0007003390;Agora;Traitement de déchets non dangereux;2008;D8 ;D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12;;;14;Déchets de solvants organiques, d'agents réfrigérants et propulseurs (sauf chapitres 07 et 08) :;28956.000;28960.000;t/an
0006103617;SUEZ RR IWS CHEMICALS FRANCE;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;9;Déchets banals des entreprises;3.136;3.136;t/an
0010007319;COVED;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;9;Déchets banals des entreprises;26112.000;26120.000;t/an
0007001041;SAS LAFLUTTE;Traitement de déchets non dangereux;2008;R11;R11 Utilisation de déchets résiduels obtenus à partir de l'une des opérations numérotées R 1 à R 10;;;4;Déchets de bois;5334.800;5320.000;t/an
0005102590;ORTEC SERVICES ENVIRONNEMENT-TRD;Traitement de déchets non dangereux;2008;D9 ;D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.);;;6;Déchets animaux de la préparation des aliments et produits alimentaires;16.320;16.320;t/an
0005701463;REMIVAL;Traitement de déchets non dangereux;2008;D10;D10 Incinération à terre;;;9;Déchets banals des entreprises;13588.920;13600.000;t/an
0006507069;SIRR Syndicat Intercommunal Rambouillet;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;4;Déchets de bois;608.000;608.000;t/an
