identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006202172;MARCILLAT CORCIEUX;2008;0;441000;7990;0
0005800574;LUBRIZOL ROUEN;2008;0;0;92700;0
0005600069;AMIS SAS;2008;0;113000;8110;0
0005900544;APERAM STAINLESS PRECISION;2008;0;186000;0;0
0005701344;ENTREMONT SODIAAL;2008;0;0;133000;0
0006400499;SEPR;2008;2000000;149000;32100;0
0006103500;TEINTURES ET APPRETS DE LA TRAMBOUZE;2008;0;355000;18400;0
0016300336;Compagnie des Fromages & Riches Monts;2008;0;47000;15700;0
0005600329;Michelin - Site des CARMES;2008;0;0;80500;0
0006300956;STAM-POIRAUD;2008;0;0;124000;0
0005501246;BOUTET NICOLAS;2008;237000;0;78600;0
0006700536;Sénerval UVE;2008;843000;0;3160;0
0007000742;DAUDRUY VAN CAUWENBERGHE et FILS;2008;0;481000;233000;0
0005401056;BIOXAL;2008;153000;0;3100;0
0005500035;KERMENE;2008;0;853000;26000;0
0006202396;EGGER PANNEAUX ET DECORS;2008;0;34000;42800;0
0007000778;MAXAM TAN;2008;3510000;0;30500;0
0006200339;GLANZSTOFF LONGLAVILLE;2008;0;0;140000;0
0005601318;LES FROMAGERIES OCCITANES;2008;0;428000;0;0
0006200031;MANUFACTURE DE BACCARAT;2008;277000;87400;0;0
0006802258;SAS BORCHERS;2008;0;126000;1390;0
0022200018;BELLONIE BOURDILLON SUCCESSEURS;2008;6360;82700;11200;0
0006103839;SAVOIE REFRACTAIRES;2008;69900;0;0;0
0005800471;EMT COMPOSANTS;2008;52300;0;1320;0
0005900605;GALVANOPLAST Sochaux-Montbéliard;2008;0;43000;0;39000
0007001026;SNCZ;2008;125000;0;555;0
0006205051;WELLMAN NEUFCHATEAU RECYCLAGE;2008;0;0;153000;0
0006301184;ACI Usine du Mans;2008;0;1160000;116000;0
0005300968;Cidreries du Calvados La Fermière;2008;55500;1280;32100;0
0006102822;PCAS - SEQENS;2008;1320000;0;10200;0
0005800607;BOREALIS CHIMIE;2008;0;7420000;114000;0
0006206788;CHR Metz-Thionville site de Thionville Hôpital Bel Air;2008;0;0;82800;0
0006205449;SOCIETE DES FOURS A CHAUX DE SORCY;2008;241000;0;0;0
0005507315;Conserverie MINERVE;2008;249000;0;80200;0
0006700648;LANA PAPIERS SPECIAUX II;2008;881000;0;28800;0
0010000712;Cartonnerie OUDIN;2008;0;164000;0;0
0006502548;Saint Gobain Quartz;2008;139000;0;9100;0
0007204027;Liberty Aluminium Poitou;2008;0;405000;0;0
0077751302;STEP - MEAUX;2008;0;0;71000;0
0006803194;PROLAINAT SA;2008;0;0;150000;0
0006502558;SOPRONEM;2008;158000;0;32700;0
0006300909;LNUF Lactalis Nestlé Ultra-Frais Laval;2008;0;0;195000;0
0005201173;Distillerie DOUENCE;2008;0;80500;372;0
0007002546;ROQUETTE Frères;2008;30600;12300000;110000;0
0006202252;CROUVEZIER DEVELOPPEMENT;2008;161000;0;0;0
0005104688;EURIAL ULTRA FRAIS (SENAGRAL / SENOBLE);2008;103000;0;0;0
0010001457;SCA HYGIENE PRODUCTS OPERATIONS;2008;800000;0;0;0
0005500031;ELIS BRETAGNE (STE);2008;0;0;102000;0
0005800543;SEALYNX INTERNATIONAL;2008;17700;564000;17600;0
0005800301;MILLENNIUM INORGANIC CHEMICALS le HAVRE;2008;0;0;2590000;340000
0006506277;SAFRAN AIRCRAFT ENGINES;2008;70000;0;56700;0
0007402350;CPCU ST-OUEN III;2008;0;2150000;0;0
0005501580;CDL SAS;2008;83300;0;5460;0
0006504202;SAFRAN AIRCRAFT ENGINES ( ex SNECMA);2008;10200;300000;24700;0
0005600465;EUROPAFI;2008;0;557000;0;0
0006301259;JEAN ROUTHIAU;2008;0;0;72000;0
0005500307;CHAFFOTEAUX site de Ploufragan;2008;0;0;51300;0
0006802667;papeteries leon martin;2008;0;64100;0;0
0007000473;BRIDGESTONE/FIRESTONE FRANCE SA;2008;322000;0;13500;0
0005303622;YSCO FRANCE;2008;0;0;133000;0
0010400332;TELEDYNE E2V  Semiconductors SAS;2008;145000;0;0;0
0005302864;MONT BLANC SAS;2008;346000;0;344;0
0006104663;SAEME DANONE EAUX FRANCE;2008;0;567000;0;0
0005701133;FONTE ARDENNAISE FA1;2008;0;314000;38200;0
0005701671;TEREOS NUTRITION ANIMALE;2008;0;0;55000;0
0006103844;RENAULT TRUCKS SAS;2008;404000;0;55000;0
0005701946;DISLAUB;2008;0;374000;1630;0
0005900536;ARMSTRONG BUILDING PRODUCTS S.A.;2008;345000;0;18100;0
0006102786;EUROPAGRO;2008;3840;0;61300;0
