identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0006400337;KERRY FLAVOURS FRANCE SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;07 07 08*;Autres résidus de réaction et résidus de distillation;2.2;t/an
0006200735;LA MEUSIENNE;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;11 01 11*;Liquides aqueux de rinçage contenant des substances dangereuses;7.54;t/an
0006600429;EDF - CPT;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;16 05 04*;Gaz en récipients à pression (y compris les halons) contenant des substances dangereuses;0.035;t/an
0007402253;SGD SA;Production de déchets dangereux;2004;I  ;I Incinération;;;16 07 08*;Déchets contenant des hydrocarbures;80.2;t/an
0005901933;ALSTOM TRANSPORT;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;13 03 08*;Huiles isolantes et fluides caloporteurs synthétiques;0.474;t/an
0005401856;JADS;Production de déchets dangereux;2004;T  ;T Autre traitement;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.365;t/an
0007201587;HEULIEZ SAS_Fab. Régionale du Bocage FRB;Production de déchets dangereux;2004;I  ;I Incinération;;;08 01 13*;Boues provenant de peintures ou vernis contenant des solvants organiques ou autres substances dangereuses;80.4;t/an
0010000701;CHROM'FLASH;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;16 10 01*;Déchets liquides aqueux contenant des substances dangereuses;43.5;t/an
0005802648;BASF Agri-Production SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;07 04 09*;Gâteaux de filtration et absorbants usés halogénés;10.2;t/an
0005101268;FINISHTEX;Production de déchets dangereux;2004;I  ;I Incinération;;;04 02 16*;Teintures et pigments contenant des substances dangereuses;31.3;t/an
0007000681;BOMBARDIER TRANSPORTS FRANCE S.A.S.;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;16 06 01*;Accumulateurs au plomb;4;t/an
0007000854;BALL PACKAGING EUROPE BIERNE SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;16 10 01*;Déchets liquides aqueux contenant des substances dangereuses;0.62;t/an
0006201561;UEM;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;16 05 06*;Produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire;0.36;t/an
0005401158;COMECA Equipements Basse Tension;Production de déchets dangereux;2004;T  ;T Autre traitement;;;15 01 10*;Emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus;1.92;t/an
0006102778;Groupe Scapa France;Production de déchets dangereux;2004;I  ;I Incinération;;;19 08 13*;Boues contenant des substances dangereuses provenant d'autres traitements des eaux usées industrielles;5.62;t/an
0007000830;Peugeot Citroën Mécanique du Nord Ouest SNC;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;16 02 09*;Transformateurs et accumulateurs contenant des pcb;30;t/an
0005702016;LE JOINT FRANCAIS;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;14 06 03*;Autres solvants et mélanges de solvants;61.5;t/an
0005101901;GOODYEAR DUNLOP TIRES Amiens SUD;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.54;t/an
0006102900;Papeteries des alpes;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;20 01 33*;Piles et accumulateurs visés aux rubriques 16 06 01, 16 06 02 ou 16 06 03 et piles et accumulateurs non triés contenant ces piles;0.189;t/an
0010006525;ASB -  AEROSPATIALE BATTERIES;Production de déchets dangereux;2004;T  ;T Autre traitement;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.005;t/an
0006700823;ISRI FRANCE Merkwiller-Pechelbronn;Production de déchets dangereux;2004;I  ;I Incinération;;;08 01 15*;Boues aqueuses contenant de la peinture ou du vernis contenant des solvants organiques ou autres substances dangereuses;35;t/an
0006201114;LORMAFER;Production de déchets dangereux;2004;I  ;I Incinération;;;07 01 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;41.4;t/an
0005800439;CHEVRON ORONITE SAS;Production de déchets dangereux;2004;C  ;C Co-incinération;;;07 02 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;0.22;t/an
0006103897;ACI VILLEURBANNE;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 01 13*;Autres huiles hydrauliques.;1.62;t/an
0010400096;MINITUBES;Production de déchets dangereux;2004;I  ;I Incinération;;;14 06 03*;Autres solvants et mélanges de solvants;12.3;t/an
0006301570;THYSSENKRUPP Ascenseurs SAS;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;16 05 06*;Produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire;0.01;t/an
0006201286;ArcelorMittal Gandrange;Production de déchets dangereux;2004;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;38.3;t/an
0005800519;ExxonMobil Polymeres;Production de déchets dangereux;2004;I  ;I Incinération;;;16 05 06*;Produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire;0.13;t/an
0006200329;usine de Liverdun;Production de déchets dangereux;2004;I  ;I Incinération;;;15 01 10*;Emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus;10.2;t/an
0005301912;Etablissement de LA HAGUE;Production de déchets dangereux;2004;D  ;D Mise en décharge;;;12 01 16*;Déchets de grenaillage contenant des substances dangereuses;7.24;t/an
0007201114;ADVANCED COMFORT SYSTEMS France SAS;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;18 01 03*;Déchets dont la collecte et l'élimination font l'objet de prescriptions particulières vis-à-vis des risques d'infection;0.09;t/an
0005600267;PEM;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;11 01 09*;Boues et gâteaux de filtration contenant des substances dangereuses;32.5;t/an
0005401301;DAVEY BICKFORD;Production de déchets dangereux;2004;I  ;I Incinération;;;06 01 06*;Autres acides;12.7;t/an
0005401471;VALLOUREC & MANNESMANN France tuberie de Montbard;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;1.49;t/an
0005600069;AMIS SAS;Production de déchets dangereux;2004;D  ;D Mise en décharge;;;11 01 09*;Boues et gâteaux de filtration contenant des substances dangereuses;58.4;t/an
0005300200;MURATA INTEGRATED PASSIVE SOLUTIONS;Production de déchets dangereux;2004;I  ;I Incinération;;;06 04 03*;Déchets contenant de l'arsenic;0.01;t/an
0007000824;APERAM ISBERGUES;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;16 02 13*;équipements mis au rebut contenant des composants dangereux (2) autres que ceux visés aux rubriques 16 02 09 à 16 02 12;2.7;t/an
0005701505;AEDS TECHNOLOGIE SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;13 03 10*;Autres huiles isolantes et fluides caloporteurs.;0.658;t/an
0006503970;HELIO CORBEIL;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;19 02 05*;Boues provenant des traitements physico;5.1;t/an
0005514248;NAVAL GROUPE (ex DCNS);Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;16 05 04*;Gaz en récipients à pression (y compris les halons) contenant des substances dangereuses;0.1;t/an
0006301017;SPBI;Production de déchets dangereux;2004;I  ;I Incinération;;;08 04 15*;Déchets liquides aqueux contenant des colles ou mastics contenant des solvants organiques ou d'autres substances dangereuses;13;t/an
0005902225;DIEHL AUGE DECOUPAGE (Bd Kennedy) SAS;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;14 06 01*;Chorofluorocarbones, hcfc, hfc;1.4;t/an
0009055101;Naval Group Brest;Production de déchets dangereux;2004;I  ;I Incinération;;;13 02 04*;Huiles moteur, de boîte de vitesses et de lubrification chlorées à base minérale;1.27;t/an
0006501167;Borealis Grandpuits;Production de déchets dangereux;2004;I  ;I Incinération;;;16 01 14*;Antigels contenant des substances dangereuses;1.3;t/an
0005902864;SOLVIN;Production de déchets dangereux;2004;I  ;I Incinération;;;07 02 07*;Résidus de réaction et résidus de distillation halogénés;64.7;t/an
0006300873;GROUPE SEB MOULINEX;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;13 01 05*;Huiles hydrauliques non chlorées (émulsions);28.6;t/an
0006201943;SOCIETE MECANIQUE AUTOMOBILE DE L'EST (SMAE);Production de déchets dangereux;2004;I  ;I Incinération;;;07 07 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;12.5;t/an
0006102007;VOLVO Compact Equipment SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;10.2;t/an
0005504149;Mc BRIDE;Production de déchets dangereux;2004;I  ;I Incinération;;;07 06 11*;Boues provenant du traitement in situ des effluents contenant des substances dangereuses;10;t/an
0006400589;AIRBUS HELICOPTERS;Production de déchets dangereux;2004;C  ;C Co-incinération;;;13 07 01*;Fioul et gazole;121;t/an
0006102715;GERFLOR PROVENCE SNC;Production de déchets dangereux;2004;T  ;T Autre traitement;;;16 05 06*;Produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire;23;t/an
0005701290;FERRY CAPITAIN;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.054;t/an
0006400765;MOTEURS BAUDOUIN;Production de déchets dangereux;2004;I  ;I Incinération;;;14 06 04*;Boues ou déchets solides contenant des solvants halogénés;2.2;t/an
0006103862;C2P;Production de déchets dangereux;2004;D  ;D Mise en décharge;;;17 02 04*;Bois, verre et matières plastiques contenant des substances dangereuses ou contaminés par de telles substances.;282;t/an
0010100019;MGI COUTIER;Production de déchets dangereux;2004;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;9.43;t/an
0006505935;CEFIVAL;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;15 01 10*;Emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus;2.34;t/an
0006500055;Corning SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;10 11 15*;Déchets solides provenant de l'épuration des fumées contenant des substances dangereuses;0.58;t/an
0006201191;VIESSMANN;Production de déchets dangereux;2004;T  ;T Autre traitement;;;13 01 04*;Autres huiles hydrauliques chlorées (émulsions);3.66;t/an
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);Production de déchets dangereux;2004;I  ;I Incinération;;;13 02 05*;Huiles moteur, de boîte de vitesses et de lubrification non chlorées à base minérale;0.448;t/an
0006300876;Cycleurope KA International;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;12 01 09*;émulsions et solutions d'usinage sans halogènes;1.03;t/an
0007000489;NORPAPER AVOT-VALLEE SAS;Production de déchets dangereux;2004;T  ;T Autre traitement;;;14 06 03*;Autres solvants et mélanges de solvants;1.04;t/an
0005511908;Ets Yves Rocher;Production de déchets dangereux;2004;I  ;I Incinération;;;15 01 10*;Emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus;0.135;t/an
0010001528;SMURFIT KAPPA SCAO;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 01 13*;Autres huiles hydrauliques.;1.6;t/an
0006104504;Framatome;Production de déchets dangereux;2004;D  ;D Mise en décharge;;;11 03 02*;Autres déchets.;5;t/an
0006400581;DUCLOS ENVIRONNEMENT;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;20 01 33*;Piles et accumulateurs visés aux rubriques 16 06 01, 16 06 02 ou 16 06 03 et piles et accumulateurs non triés contenant ces piles;576;t/an
0006504202;SAFRAN AIRCRAFT ENGINES ( ex SNECMA);Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;12 01 07*;Huiles d'usinage à base minérale sans halogènes (pas sous forme d'émulsions ou de solutions);5.86;t/an
0006103837;Robert BOSCH France SAS - Usine de Vénissieux;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;12 01 07*;Huiles d'usinage à base minérale sans halogènes (pas sous forme d'émulsions ou de solutions);103;t/an
0007002377;THYSSEN KRUPP ELECTRICAL STEEL UGO;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 01 10*;Huiles hydrauliques non chlorées à base minérale;45.5;t/an
0006104660;BAIKOWSKI;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;07 07 08*;Autres résidus de réaction et résidus de distillation;0.3;t/an
0005600245;FAREVA LA VALLEE;Production de déchets dangereux;2004;I  ;I Incinération;;;13 01 05*;Huiles hydrauliques non chlorées (émulsions);32;t/an
0006700433;Vynova PPC SAS;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;16 06 06*;électrolytes de piles et accumulateurs collectés séparément.;0.185;t/an
0005701254;FREUDENBERG SEALING TECHNOLOGIE S.A.S.;Production de déchets dangereux;2004;T  ;T Autre traitement;;;07 01 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;3.84;t/an
0005800597;SAFRAN NACELLES;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;16 02 09*;Transformateurs et accumulateurs contenant des pcb;8.87;t/an
