Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2007;060901073002;CEYZERIEU - CHEF LIEU;600;Lagune;229,524;20,664;13,087;,918;3,444;,046;,011;,053;83,317212;6,1992;3,9261;,7344;2,7552;,0322;,0077;,0265;01073;CEYZERIEU;01;RHONE-ALPES;V143
2007;060901073003;CEYZERIEU - CATTON;100;Bassin de décantation;14,892;1,34;,849;,06;,223;,003;,001;,003;12,568848;,67;,849;,054;,223;,003;,001;,003;01073;CEYZERIEU;01;RHONE-ALPES;V146
2007;060901073004;CEYZERIEU - CHAVOLEY;50;Bassin de décantation;16,916;1,523;,964;,068;,254;,003;,001;,004;14,277104;,7615;,964;,0612;,254;,003;,001;,004;01073;CEYZERIEU;01;RHONE-ALPES;V146
2007;060901074002;CHALAMONT;2500;Biol./Nit./Dénit./Dépho.Ph.Ch.;1955,849;179;125;0;20;0;0;0;199,496598;3,58;15;0;3,8;0;0;0;01074;CHALAMONT;01;RHONE-ALPES;V294
2007;060901075001;CHALEINS;1400;Biol. / Nitrif.;400,42;36,049;22,831;1,602;6,008;,08;,02;,092;133,33986;10,8147;6,8493;1,2816;2,4032;,056;,014;,046;01075;CHALEINS;01;RHONE-ALPES;U451
2007;060901078001;CHALLEX (ANCIENNE);1500;Biologique Simple;699,542;62,978;39,886;2,799;10,496;,14;,035;,161;486,18169;37,7868;27,9202;2,5191;9,4464;,14;,035;,161;01078;CHALLEX;01;RHONE-ALPES;V042
2007;060901079001;CHAMPAGNE EN VALROMEY - C LIEU;700;Biol. / Nitrif.;364,928;32,854;20,807;1,46;5,476;,073;,018;,084;71,16096;3,2854;4,1614;1,022;1,0952;,0365;,009;,0336;01079;CHAMPAGNE EN VALROMEY;01;RHONE-ALPES;V142
2007;060901080001;CHAMPDOR;700;Biol. / Nitrif.;257,2;23,155;14,665;1,029;3,859;,051;,013;,059;257,2;23,155;14,665;1,029;3,859;,051;,013;,059;01080;CHAMPDOR;01;RHONE-ALPES;V291
2007;060901081001;CHAMPFROMIER;400;Biol. / Nitrif.;187,402;16,871;10,685;,75;2,812;,037;,009;,043;62,404866;5,0613;3,2055;,6;1,1248;,0259;,0063;,0215;01081;CHAMPFROMIER;01;RHONE-ALPES;V101
2007;060901082001;CHANAY - CHEF LIEU;1800;Biol. / Nitrif.;304,47;26,148;18,131;1,138;4,068;,041;,034;,077;33,18723;1,3074;1,8131;,6828;,4068;,0164;,0136;,0231;01082;CHANAY;01;RHONE-ALPES;V102
2007;060901082002;CHANAY - DORCHES;100;Filtres plantés;33,778;3,041;1,926;,135;,507;,007;,002;,008;3,71558;,15205;,1926;,081;,0507;,007;,002;,008;01082;CHANAY;01;RHONE-ALPES;V102
2007;060901083001;CHANEINS (ANCIENNE);317;Lagune;168,737;15,191;9,621;,675;2,532;,034;,008;,039;61,251531;4,5573;2,8863;,54;2,0256;,0238;,0056;,0195;01083;CHANEINS;01;RHONE-ALPES;U440
2007;060901084001;CHANOZ CHATENAY;250;Lagune;82,321;7,412;4,694;,329;1,235;,016;,004;,019;29,882523;2,2236;1,4082;,2632;,988;,0112;,0028;,0095;01084;CHANOZ CHATENAY;01;RHONE-ALPES;U421
2007;060901085001;LA CHAPELLE DU CHATELARD;225;Lagune;59,49;5,355;3,392;,238;,893;,012;,003;,014;13,86117;,5355;,6784;,1666;,6251;,006;,0015;,0056;01085;LA CHAPELLE DU CHATELARD;01;RHONE-ALPES;U440
