ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2012;060901025003;STATION D'EPURATION DE BAGE-DOMMARTIN - ONJARD;500;13,675;46,581;24,444;5,109;,576;;;;3,417;,57;,232;,253;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2012;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;18,997;47,258;20,579;7,253;,634;;;,335;1,57;,39;1,375;,374;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2012;060901029001;STATION D'EPURATION DE BEAUPONT;285;3,366;12,474;6,93;3,709;,291;;;,792;5,148;1,188;2,053;,234;;;BEAUPONT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;18000;659,499;1391,915;843,057;;18,282;;;23,719;137,88;43,29;;5,158;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901034001;STATION D'EPURATION DE BELLEY - CHEF LIEU;18333;758,411;1516,29;673,939;;17,397;;;17,716;147,615;24,281;;3,874;;;BELLEY;AIN;AUVERGNE-RHONE-ALPES;
2012;060901035001;STATION D'EPURATION DE BELLEYDOUX;300;;;;;;;;;;;;;;;BELLEYDOUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901039003;STATION D'EPURATION DE BEON;670;10,79;25,315;9,255;3,382;,327;;;,498;2,988;,498;1,52;,166;;;BEON;AIN;AUVERGNE-RHONE-ALPES;
2012;060901040001;STATION D'EPURATION DE BEREZIAT;350;4,38;12,176;7,665;1,186;,123;;;,175;1,82;,805;,135;,016;;;BEREZIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901041001;STATION D'EPURATION DE BETTANT;900;12,04;29,24;7,224;5,044;,375;;;;1,118;,172;1,075;,255;;;BETTANT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901043001;STATION D'EPURATION DE BEYNOST -ST MAURICE DE BEYNOST;10600;381,337;930,178;550,88;87,984;10,513;;;5,527;45,385;14,611;15,052;6,118;;;BEYNOST;AIN;AUVERGNE-RHONE-ALPES;
2012;060901045001;STATION D'EPURATION DE BIRIEUX;200;9,18;19,55;10,404;2,181;,247;;;,544;2,754;1,496;,808;,144;;;BIRIEUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901054001;STATION D'EPURATION DE BOURG SAINT CHRISTOPHE;1990;75,535;237,829;103,95;30,544;3,421;;;1,362;9,15;,804;3,402;,866;;;BOURG ST CHRISTOPHE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901057001;STATION D'EPURATION DE BOZ - ANCIENNE;500;10,926;70,898;28,165;4,336;,626;;;3,223;24,612;1,758;6,669;1,275;;;BOZ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901058002;STATION D'EPURATION DE BREGNIER CORDON-PETIT GLANDIEU;630;8,204;24,613;15,17;3,762;,376;;;1,634;9,474;3,267;,996;,107;;;BREGNIER CORDON;AIN;AUVERGNE-RHONE-ALPES;
2012;060901060002;STATION D'EPURATION DE BRENOD;1200;66,525;175,838;37,817;6,503;1,064;;;1,277;2,448;1,183;4,653;,733;;;BRENOD;AIN;AUVERGNE-RHONE-ALPES;
2012;060901065002;STATION D'EPURATION DE BUELLAS - CORGENON;600;14,04;32,58;19,08;4,849;,684;;;1;4,8;1;1,112;,18;;;BUELLAS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901065003;STATION D'EPURATION DE BUELLAS - MONTCET;1800;109,53;379,876;287,77;41,51;5,102;;;2,094;20,793;1,926;4,117;,833;;;BUELLAS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901069002;STATION D'EPURATION DE CERTINES;4500;93,245;429,274;148,886;57,438;5,529;;;6,577;30,905;9,836;16,736;2,272;;;CERTINES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901073002;STATION D'EPURATION DE CEYZERIEU - CHEF LIEU;600;23,16;106,536;54,426;22,002;,95;;;5,81;30,71;10,79;9,553;,714;;;CEYZERIEU;AIN;AUVERGNE-RHONE-ALPES;
2012;060901074002;STATION D'EPURATION DE CHALAMONT;2500;58,288;186,056;107,283;24,967;2,572;;;1,985;20,421;1,333;6,468;,259;;;CHALAMONT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901078002;STATION D'EPURATION DE CHALLEX;2000;37,83;136,331;75,002;1,389;,732;;;,863;8,625;,575;,131;,878;;;CHALLEX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901079001;STATION D'EPURATION DE CHAMPAGNE EN VALROMEY - C LIEU;700;26,144;68,514;32,454;6,671;,673;;;4,508;10,818;4,508;3,342;,523;;;CHAMPAGNE EN VALROMEY;AIN;AUVERGNE-RHONE-ALPES;
2012;060901080001;STATION D'EPURATION DE CHAMPDOR-CORCELLES - CHAMPDOR;700;32,788;64,171;35,598;6,558;,703;;;;3,279;,468;3,822;,351;;;CHAMPDOR-CORCELLES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901082001;STATION D'EPURATION DE CHANAY - CHEF LIEU;1800;18,6;48,766;17,403;3,578;,391;;;,725;4,753;,817;,587;,281;;;CHANAY;AIN;AUVERGNE-RHONE-ALPES;
2012;060901083002;STATION D'EPURATION DE CHANEINS;1150;11,41;22,004;32,849;5,659;,491;;;,268;3,317;,292;1,806;,465;;;CHANEINS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901087001;STATION D'EPURATION DE CHARIX;380;4,588;9,52;4,542;1,331;,167;;;,184;1,285;,551;,672;,073;;;CHARIX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901088001;STATION D'EPURATION DE CHARNOZ SUR AIN;1200;18,075;56,535;19,108;8,523;,907;;;,318;2,8;,212;6,779;,713;;;CHARNOZ SUR AIN;AIN;AUVERGNE-RHONE-ALPES;
2012;060901089002;STATION D'EPURATION DE AMBERIEU - CHATEAU GAILLARD;33300;675,831;1669,987;944,536;190,85;25,486;;;12,714;124,258;13,949;30,177;5,297;;;CHATEAU GAILLARD;AIN;AUVERGNE-RHONE-ALPES;
2012;060901091002;STATION D'EPURATION DE VALSERHONE CHATILLON MICHAILLE;2250;50,836;129,703;52,014;10,948;1,269;;;2,076;6,596;1,943;2,082;,535;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901092002;STATION D'EPURATION DE CHATILLON LA PALUD;1783;58,41;151,166;65,193;17,113;1,822;;;,95;6,245;,815;16,25;,144;;;CHATILLON LA PALUD;AIN;AUVERGNE-RHONE-ALPES;
2012;060901093001;STATION D'EPURATION DE CHATILLON SUR CHALARONNE;5400;170,007;503,023;271,21;57,673;8,595;;;7,398;74,329;32,809;22,342;2,539;;;CHATILLON SUR CHALARONNE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901096004;STATION D'EPURATION DE CHAVEYRIAT - CHEF LIEU;600;25,216;66,318;33,852;4,491;,662;;;;;,126;2,008;,366;;;CHAVEYRIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901099001;STATION D'EPURATION DE CHAZEY SUR AIN - CHEF LIEU;945;14,878;50,299;16,488;12,035;1,152;;;,812;10,88;3,28;1,854;,942;;;CHAZEY SUR AIN;AIN;AUVERGNE-RHONE-ALPES;
2012;060901099002;STATION D'EPURATION DE CHAZEY SUR AIN - RIGNIEUX;600;8,32;12,928;24,896;3,063;,44;;;3,136;16;6,4;2,052;,282;;;CHAZEY SUR AIN;AIN;AUVERGNE-RHONE-ALPES;
2012;060901102002;STATION D'EPURATION DE CHEVROUX - FAYOLLE;250;4,318;8,812;6,168;1,603;,192;;;,376;3,831;,376;,804;,098;;;CHEVROUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901102003;STATION D'EPURATION DE CHEVROUX - CHEF LIEU;500;28,312;74,095;37,695;4,428;,573;;;,57;3,762;;3,358;,529;;;CHEVROUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901104001;STATION D'EPURATION DE CHEZERY FORENS;1350;64,315;109,31;26,95;;;;;,249;2,615;,734;,365;;;;CHEZERY FORENS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901105001;STATION D'EPURATION DE CIVRIEUX;1500;68,947;140,224;148,606;11,787;1,356;;;,371;3,709;,345;,872;,583;;;CIVRIEUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901108002;STATION D'EPURATION DE COLIGNY;1900;24,504;65,486;28,924;6,206;,658;;;,771;3,606;1,03;4,067;,57;;;COLIGNY;AIN;AUVERGNE-RHONE-ALPES;
2012;060901109001;STATION D'EPURATION DE COLLONGES;3300;43,6;127,378;69,668;;;;;,59;8,777;3,354;;;;;COLLONGES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901113001;STATION D'EPURATION DE CONDEISSIAT;700;16,228;39,62;22,832;3,538;,462;;;1,036;3,931;2,47;,298;,075;;;CONDEISSIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901114002;STATION D'EPURATION DE CONFORT - MENTHIERES;1167;1,973;3,747;2,337;;;;;,068;,576;,2;;;;;CONFORT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901115002;STATION D'EPURATION DE CONFRANCON;800;8,21;34,262;10,374;7,099;,633;;;1,092;10,836;2,463;5;,667;;;CONFRANCON;AIN;AUVERGNE-RHONE-ALPES;
2012;060901118001;STATION D'EPURATION DE CORBONOD;542;8,33;17;9,86;3,533;,485;;;1,19;9,52;1,36;2,037;,294;;;CORBONOD;AIN;AUVERGNE-RHONE-ALPES;
2012;060901122002;STATION D'EPURATION DE PLATEAU HAUTEVILLE CORMARANCHE;1100;7,715;21,14;10,987;4,863;,538;;;;2,836;;4,427;,297;;;PLATEAU D'HAUTEVILLE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901123001;STATION D'EPURATION DE CORMORANCHE SUR SAONE;1800;24,019;63,175;37,75;8,339;,892;;;,878;3,052;,878;1,634;,506;;;CORMORANCHE SUR SAONE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901129001;STATION D'EPURATION DE CRANS;270;;;;;;;;;;;;;;;CRANS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901130001;STATION D'EPURATION DE CRAS SUR REYSSOUZE - CHEF LIEU;550;29,524;73,335;38,667;8,347;1,314;;;,667;5,429;1,429;,635;,467;;;BRESSE VALLONS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901133001;STATION D'EPURATION DE CRESSIN ROCHEFORT;367;11,4;36,78;16,8;3,788;,565;;;,832;6,656;2,08;1,188;,324;;;CRESSIN ROCHEFORT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901134002;STATION D'EPURATION DE CROTTET - ORMETS;2700;57,938;171,726;113,417;16,482;1,874;;;1,226;11,046;1,285;2,775;,367;;;CROTTET;AIN;AUVERGNE-RHONE-ALPES;
2012;060901138001;STATION D'EPURATION DE CULOZ - CHEF LIEU;4666;121;280,781;151,272;;2,976;;;2,641;19,916;4,305;;1,032;;;CULOZ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901139001;STATION D'EPURATION DE CURCIAT DONGALON;270;2,36;5,538;2,36;1,004;,096;;;,468;2,139;1,452;,254;,047;;;CURCIAT DONGALON;AIN;AUVERGNE-RHONE-ALPES;
2012;060901140001;STATION D'EPURATION DE CURTAFOND - CHEF LIEU;700;12,06;25,269;11,141;2,96;,355;;;1,23;9,512;,902;3,001;,381;;;CURTAFOND;AIN;AUVERGNE-RHONE-ALPES;
2012;060901143001;STATION D'EPURATION DE DIVONNE LES BAINS;15000;344,185;992,845;560,7;112,942;14,015;;;23,076;162,539;33,383;34,449;2,059;;;DIVONNE LES BAINS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901145002;STATION D'EPURATION DE DOMPIERRE SUR VEYLE - CHF LIEU;900;9,32;38,507;18,377;7,013;,612;;;,86;8,336;1,173;1,26;,621;;;DOMPIERRE SUR VEYLE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901145003;STATION D'EPURATION DE DOMPIERRE SUR VEYLE - LE LAIT;100;4,687;7,138;5,977;,448;,048;;;,258;3,096;,43;,823;,156;;;DOMPIERRE SUR VEYLE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901146001;STATION D'EPURATION DE DOMPIERRE SUR CHALARONNE;500;4,782;28,963;16,38;3,369;,347;;;;;,085;1,453;,252;;;DOMPIERRE SUR CHALARONNE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901147006;STATION D'EPURATION DE DOMSURE - CHEF LIEU;300;1,68;3,272;,976;,47;,05;;;,04;,18;,04;,509;,021;;;DOMSURE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901151001;STATION D'EPURATION DE DRUILLAT - CHEF LIEU;500;9,392;13,182;22,561;7,275;,578;;;1,12;11,245;2,934;1,823;,576;;;DRUILLAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901151002;STATION D'EPURATION DE DRUILLAT - ROSSETTES;300;17,69;34,953;20,923;4,823;,565;;;1,403;10,553;5,368;2,176;,511;;;DRUILLAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901151003;STATION D'EPURATION DE DRUILLAT - TURGON;400;29,7;47,795;42,405;4,145;,693;;;3,685;10,368;4,675;3,444;,672;;;DRUILLAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901156001;STATION D'EPURATION DE FARAMANS;700;31,5;72,1;39,55;7,672;,884;;;2,635;17,05;5,115;3,292;,538;;;FARAMANS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901157001;STATION D'EPURATION DE FAREINS;1800;16,191;42,696;16,988;9,542;,762;;;5,016;15,078;5,133;5,543;,792;;;FAREINS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901158001;STATION D'EPURATION DE FARGES;533;5,655;20,735;4,64;;;;;,435;4,35;,986;;;;;FARGES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901159001;STATION D'EPURATION DE FEILLENS;12000;806,527;1845,779;715,644;97,088;12,882;;;7,422;57,829;17,02;13,748;,893;;;FEILLENS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901163002;STATION D'EPURATION DE FOISSIAT;1900;51,521;103,723;37,52;6,85;,976;;;1,157;8,302;3,654;1,88;,242;;;FOISSIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901165002;STATION D'EPURATION DE FRANCHELEINS;1000;33,814;75,779;39,824;7,389;,736;;;,431;4,306;1,411;5,543;,866;;;FRANCHELEINS ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901167003;STATION D'EPURATION DE GARNERANS - CHEF LIEU;600;26,314;48,882;33,182;8,798;,785;;;,134;1,338;,268;2,313;,022;;;GARNERANS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901170002;STATION D'EPURATION DE NANTUA - GEOVREISSIAT;24000;508,019;1140,439;572,106;114,771;15,389;;;20,908;105,496;17,217;26,825;2,963;;;BEARD-GEOVREISSIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901174001;STATION D'EPURATION DE GIRON;700;4,133;8,725;9,184;1,332;,22;;;1,378;5,051;3,674;,937;,078;;;GIRON;AIN;AUVERGNE-RHONE-ALPES;
2012;060901176001;STATION D'EPURATION DE HAUT-VALROMEY GRAND-ABERGEMENT;900;1,19;3,798;2,037;,436;,062;;;,029;;,029;,05;,03;;;HAUT-VALROMEY ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901181001;STATION D'EPURATION DE GROISSIAT - OYONNAX;57000;1443,14;3866,712;1542,483;385,248;44,827;3,251;,654;31,537;221,507;56,529;34,795;7,075;,421;,249;GROISSIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901183001;STATION D'EPURATION DE GUEREINS;900;73,674;163,642;132,64;20,06;2,32;;;16,79;49,064;11,321;16,322;1,844;;;GUEREINS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901184001;STATION D'EPURATION DE HAUTECOURT ROMANECHE - CH LIEU;;5,748;18,178;6,898;2,587;,292;;;6,826;19,256;5,173;3,593;,378;;;HAUTECOURT ROMANECHE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901185001;STATION D'EPURATION DE PLATEAU D'HAUTEVILLE - LOMPNES;8000;66,659;236,806;119,843;29,963;3,535;;;6,087;49,575;9,222;8,527;,564;;;PLATEAU D'HAUTEVILLE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901187001;STATION D'EPURATION DE HAUT-VALROMEY - HOTONNES;2300;205,909;387,756;146,366;35,488;5,024;;;4,198;26,225;8,487;6,838;1,003;;;HAUT-VALROMEY ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901188001;STATION D'EPURATION DE ILLIAT;500;13,387;38,579;13,874;5,386;,426;;;,365;3,651;1,339;4,354;,779;;;ILLIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901189001;STATION D'EPURATION DE INJOUX GENISSIAT - INJOUX;540;6,387;15,444;13,354;;,621;;;,087;1,887;,261;;,621;;;INJOUX GENISSIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901189002;STATION D'EPURATION DE INJOUX GENISSIAT - GENISSIAT;600;8,13;48,035;31,843;;1,375;;;3,794;15,718;5,759;;,725;;;INJOUX GENISSIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901192002;STATION D'EPURATION DE IZERNORE - CHEF LIEU;2500;7,81;13,987;9,23;;;;;4,077;24,697;12,514;;,769;;;IZERNORE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901194002;STATION D'EPURATION DE JASSANS RIOTTIER;11250;646,049;1558,551;784,487;143,631;15,483;;;5,511;54,507;6,963;13,924;1,994;;;JASSANS RIOTTIER;AIN;AUVERGNE-RHONE-ALPES;
2012;060901195001;STATION D'EPURATION DE JASSERON;2550;14,867;195,275;33,751;10,688;1,073;;;2,411;4,42;2,411;6,485;,844;;;JASSERON;AIN;AUVERGNE-RHONE-ALPES;
2012;060901196002;STATION D'EPURATION DE MONTREVEL - JAYAT;6000;67,56;190,035;101,199;33,646;3,373;;;5,277;44,791;13,163;7,325;,744;;;JAYAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901196003;STATION D'EPURATION DE JAYAT;1200;19,8;51,79;23,25;15,427;1,248;;;,54;6,94;9,05;5,958;,888;;;JAYAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901199001;STATION D'EPURATION DE JUJURIEUX - CHEF LIEU;3200;28,958;77,285;62,481;11,431;1,254;;;3,281;22,782;7,436;10,325;1,238;;;JUJURIEUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901200001;STATION D'EPURATION DE LABALME;230;20,514;44,5;47,971;3,787;,631;;;1,693;5,924;1,451;,532;,133;;;LABALME;AIN;AUVERGNE-RHONE-ALPES;
2012;060901209001;STATION D'EPURATION DE LEAZ - GRESIN;400;5,85;16,47;10,8;;;;;,135;1,35;,162;;;;;LEAZ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901209002;STATION D'EPURATION DE LEAZ - CHEF LIEU;400;8,505;38,88;92,34;;;;;9,72;42,525;77,76;;;;;LEAZ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901210002;STATION D'EPURATION DE LELEX;1980;29,129;88,5;51,723;12,533;1,302;;;1,574;10,362;1,969;5,058;,591;;;LELEX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901211002;STATION D'EPURATION DE LENT;1425;96,54;256,751;135,126;30,124;3,6;;;4,622;17,261;2,385;3,403;1,602;;;LENT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901212001;STATION D'EPURATION DE LESCHEROUX;300;2,914;7,606;1,848;1,373;,134;;;,907;5,829;1,749;,993;,209;;;LESCHEROUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901216001;STATION D'EPURATION DE LHUIS - CHEF LIEU;1000;27,132;78,936;48,038;6,573;,785;;;;;;;;;;LHUIS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901224001;STATION D'EPURATION DE LOYETTES;4500;173,723;364,383;146,538;34,362;4,431;;;1,113;10,19;1,046;1,751;,556;;;LOYETTES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901225001;STATION D'EPURATION DE MONTMERLE SUR SAONE - LURCY;8000;158,9;408,297;197,43;67,085;6,941;;;2,903;29,281;6,89;11,422;3,47;;;LURCY;AIN;AUVERGNE-RHONE-ALPES;
2012;060901228003;STATION D'EPURATION DE MAILLAT - CHEF LIEU;1200;18,44;59,338;30,7;;;;;1,25;5,75;1,5;;,338;;;MAILLAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901232002;STATION D'EPURATION DE MARBOZ - MALAVAL;900;,41;5,974;1,642;,338;,03;;;;3,876;,42;,348;,026;;;MARBOZ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901232003;STATION D'EPURATION DE MARBOZ - CHEF LIEU;1500;8,131;85,378;60,984;9,534;1,135;;;;28,798;4,743;6,224;,393;;;MARBOZ;AIN;AUVERGNE-RHONE-ALPES;
2012;060901235002;STATION D'EPURATION DE MARLIEUX;1250;11,412;39,308;25,36;9,041;,837;;;;2,1;;1,327;,301;;;MARLIEUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901236001;STATION D'EPURATION DE MARSONNAS;300;11,18;25,715;16,333;3,429;,345;;;2,681;10,432;6,411;1,367;,204;;;MARSONNAS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901237001;STATION D'EPURATION DE MARTIGNAT;670;40,533;170,219;103,257;15,535;2,319;;;1,232;11,214;4,181;2,5;,427;;;MARTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901238001;STATION D'EPURATION DE TREVOUX-BORDS DE SAONE;27000;273,387;974,771;499,816;69,376;10,396;;;18,253;104,484;42,95;29,507;5,787;;;MASSIEUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901239001;STATION D'EPURATION DE MASSIGNIEU DE RIVES;717;3,445;9,62;4,42;2,856;,254;;;,024;,228;,084;,024;,007;;;MASSIGNIEU DE RIVES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901240001;STATION D'EPURATION DE MATAFELON GRANGES;300;2,153;8,684;2,655;1,658;,174;;;1,148;3,373;4,952;,732;,091;;;MATAFELON GRANGES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901241003;STATION D'EPURATION DE MEILLONNAS - CHEF LIEU;1900;9,496;38,459;24,792;5,34;,543;;;2,165;13,976;2,608;3,889;2,487;;;MEILLONNAS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901243002;STATION D'EPURATION DE MESSIMY SUR SAONE;717;28,128;70,944;32,832;8,063;,739;;;,47;3,552;1,152;1,026;,384;;;MESSIMY SUR SAONE;AIN;AUVERGNE-RHONE-ALPES;
2012;060901244001;STATION D'EPURATION DE MEXIMIEUX;10000;162,786;502,214;187,09;64,024;6,966;;;4,4;52,727;9,101;7,492;4,465;;;MEXIMIEUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901245005;STATION D'EPURATION DE BOHAS MEYRIAT RIGNAT - BOHAS;500;8,775;30,923;13,198;3,201;,386;;;,409;2,523;,477;1,282;,285;;;BOHAS MEYRIAT RIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901246001;STATION D'EPURATION DE MEZERIAT - LES COVETTES;600;34,02;84,078;46,656;6,71;,651;;;2,551;12,94;8,336;1,2;,164;;;MEZERIAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901247003;STATION D'EPURATION DE MIJOUX - CHEF LIEU;3000;14,645;48,297;31,542;4,784;,492;;;,483;4,327;,585;2,004;,05;;;MIJOUX;AIN;AUVERGNE-RHONE-ALPES;
2012;060901248002;STATION D'EPURATION DE MIONNAY;4483;72,12;196,937;86,955;20,494;2,811;;;1,657;13,635;,909;1,995;1,424;;;MIONNAY;AIN;AUVERGNE-RHONE-ALPES;
2012;060901250002;STATION D'EPURATION DE MISERIEUX;2430;54,687;137,506;79,21;14,541;1,819;;;1,681;14,802;4,117;3,384;1,272;;;MISERIEUX;AIN;AUVERGNE-RHONE-ALPES;
