type_rj;code_rj;libelle;insee_commune;nom_commune;x_rj;y_rj;milieu_recepteur;derniere_annee;code_step;nom_step;nature_reseau;capacite;traitement_principal;debit_nominal_tps_sec;debit_nominal_tps_pluie;charge_nominale_dbo5;charge_nominale_dco;charge_nominale_mes;insee_commune_step;nom_commune_step;code_mo;siret_mo;nom_mo;x_step;y_step
RJ;0511291V0011;PLAVILLA (Village);11291;Plavilla;610929.0;6227530.0;R;;0511291V001;PLAVILLA (Village);;70.0;Secondaire bio (Ntk);13.0;;;;;11291;Plavilla;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;610929.0;6227530.0
RJ;0511297V0021;PRADELLES CABARDES (COMMUNAL);11297;Pradelles-Cabardès;655344.0;6256340.0;R;;0511297V002;PRADELLES CABARDES (COMMUNAL);Séparatif;300.0;Secondaire bio (Ntk);45.0;101.0;;;;11297;Pradelles-Cabardès;11297000A;21110297500011;COMMUNE DE PRADELLES CABARDES ;655330.0;6256320.0
RJ;0511303V0011;PUIVERT;11303;Puivert;622073.0;6203190.0;R;;0511303V001;PUIVERT;Séparatif;1000.0;Secondaire bio (Ntk);200.0;;;;;11303;Puivert;11303000A;21110303100012;COMMUNE DE PUIVERT ;622070.0;6203180.0
RJ;0511303V0031;PUIVERT Campserdou;11303;Puivert;624118.0;6201480.0;R;;0511303V003;PUIVERT Campserdou;;70.0;Secondaire bio (Ntk);10.0;;;;;11303;Puivert;11303000A;21110303100012;COMMUNE DE PUIVERT ;624086.0;6201480.0
RJ;0511303V0041;PUIVERT (HAMEAU DE LESCALE);11303;Puivert;623142.0;6201500.0;R;;0511303V004;PUIVERT (HAMEAU DE LESCALE);Séparatif;80.0;Secondaire bio (Ntk);12.0;;;;;11303;Puivert;11303000A;21110303100012;COMMUNE DE PUIVERT ;622183.0;6199040.0
RJ;0511303V0051;PUIVERT (CAMPSYLVESTRE N°2);11303;Puivert;623421.0;6201340.0;R;;0511303V005;PUIVERT (CAMPSYLVESTRE N°2);;50.0;Secondaire bio (Ntk);8.0;9.0;;;;11303;Puivert;11303000A;21110303100012;COMMUNE DE PUIVERT ;623421.0;6201340.0
RJ;0511316V0011;RIVEL;11316;Rivel;618185.0;6205910.0;R;;0511316V001;RIVEL;;350.0;Secondaire bio (Ntk);52.5;;;;;11316;Rivel;11316000A;21110316300013;COMMUNE DE RIVEL ;618232.0;6205890.0
RJ;0511316V0021;RIVEL (LA CALMETTE);11316;Rivel;618183.0;6204550.0;R;;0511316V002;RIVEL (LA CALMETTE);;20.0;Secondaire bio (Ntk);3.0;;;;;11316;Rivel;11316000A;21110316300013;COMMUNE DE RIVEL ;618265.0;6204560.0
RJ;0511316V0031;RIVEL (METAIERIES);11316;Rivel;619059.0;6201790.0;F;;0511316V003;RIVEL (LES BORDES);Séparatif;30.0;Secondaire bio (Ntk);4.0;;;;;11316;Rivel;11316000A;21110316300013;COMMUNE DE RIVEL ;619098.0;6201730.0
RJ;0511331V0011;SAINT AMANS;11331;Saint-Amans;609181.0;6237070.0;R;;0511331V001;SAINT AMANS;Séparatif;110.0;Secondaire bio (Ntk);18.0;;;;;11331;Saint-Amans;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;609172.0;6237070.0
RJ;0511333V0021;SAINT BENOIT (COMMUNALE);11333;Saint-Benoît;623203.0;6213800.0;R;;0511333V002;SAINT BENOIT (COMMUNALE);Séparatif;65.0;Secondaire bio (Ntk);10.0;;;;;11333;Saint-Benoît;11333000A;21110333800011;COMMUNE DE SAINT BENOIT ;623195.0;6213790.0
RJ;0511334V0011;SAINTE CAMELLE (COMMUNALE);11334;Sainte-Camelle;602737.0;6242230.0;R;;0511334V001;SAINTE CAMELLE (COMMUNALE);Séparatif;75.0;Secondaire bio (Ntk);11.0;;;;;11334;Sainte-Camelle;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;602696.0;6242190.0
RJ;0511336V0011;STE COLOMBE SUR L'HERS;11336;Sainte-Colombe-sur-l'Hers;616027.0;6206980.0;R;;0511336V001;STE COLOMBE SUR L'HERS;;550.0;Secondaire bio (Ntk);82.5;;;;;11336;Sainte-Colombe-sur-l'Hers;11336000A;21110336100013;COMMUNE DE SAINTE COLOMBE SUR L'HERS ;616005.0;6206950.0
RJ;0511336V0021;SAINTE COLOMBE SUR L'HERS (RIVALS ET CAMPBIGOU);11336;Sainte-Colombe-sur-l'Hers;615502.0;6205630.0;R;;0511336V002;SAINTE COLOMBE SUR L'HERS (RIVALS ET CAMPBIGOU);Séparatif;60.0;Secondaire bio (Ntk);9.0;;;;;11336;Sainte-Colombe-sur-l'Hers;11336000A;21110336100013;COMMUNE DE SAINTE COLOMBE SUR L'HERS ;615511.0;6205630.0
RJ;0511343V0011;SAINT GAUDERIC (COMMUNALE);11343;Saint-Gaudéric;613783.0;6226600.0;R;;0511343V001;SAINT GAUDERIC (COMMUNALE);Séparatif;80.0;Secondaire bio (Ntk);12.0;;;;;11343;Saint-Gaudéric;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;613764.0;6226590.0
RJ;0511348V0011;ST JULIEN DE BRIOLA (BONNERYS);11348;Saint-Julien-de-Briola;614657.0;6231020.0;F;;0511348V001;ST JULIEN DE BRIOLA (BONNERYS);Séparatif;30.0;Secondaire bio (Ntk);18.0;;;;;11348;Saint-Julien-de-Briola;11348000A;21110348600018;COMMUNE DE SAINT JULIEN DE BRIOLA ;614661.0;6231030.0
RJ;0511348V0021;SAINT JULIEN DE BRIOLA / BOURG;11348;Saint-Julien-de-Briola;613940.0;6229270.0;F;;0511348V002;SAINT JULIEN DE BRIOLA / BOURG;Séparatif;50.0;Secondaire bio (Ntk);7.5;;;;;11348;Saint-Julien-de-Briola;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;613979.0;6229260.0
RJ;0511359V0011;ST MICHEL DE LANES;11359;Saint-Michel-de-Lanès;598923.0;6249090.0;R;;0511359V001;ST MICHEL DE LANES;;300.0;Primaire bio simple (Décanteur Digesteur;45.0;;;;;11359;Saint-Michel-de-Lanès;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;598957.0;6249090.0
